Wavelength [nm],Background (Mel),Modulation (Mel),Background (LMS),Modulation (LMS)
380,7.547e-06,1.0159e-05,3.698e-06,2.0746e-05
382,6.131e-06,1.0164e-05,3.455e-06,1.7672e-05
384,6.669e-06,9.672e-06,3.985e-06,1.7425e-05
386,7.908e-06,8.413e-06,3.818e-06,1.9831e-05
388,6.829e-06,9.924e-06,4.342e-06,1.8058e-05
390,7.584e-06,8.773e-06,4.563e-06,1.6516e-05
392,7.025e-06,8.905e-06,4.551e-06,1.6839e-05
394,6.933e-06,9.738e-06,4.006e-06,1.5516e-05
396,6.425e-06,8.329e-06,4.665e-06,1.2951e-05
398,5.106e-06,8.134e-06,4.173e-06,1.1952e-05
400,6.336e-06,9.227e-06,3.811e-06,1.315e-05
402,5.467e-06,8.879e-06,3.818e-06,1.2041e-05
404,4.298e-06,8.486e-06,3.821e-06,1.0548e-05
406,4.458e-06,8.691e-06,3.955e-06,1.1517e-05
408,5.398e-06,7.705e-06,3.496e-06,1.0129e-05
410,4.415e-06,8.183e-06,3.602e-06,1.1872e-05
412,4.123e-06,7.992e-06,3.288e-06,1.4119e-05
414,9.685e-06,7.819e-06,3.535e-06,1.8538e-05
416,2.212e-05,1.2277e-05,4.252e-06,3.513e-05
418,5.291e-05,2.0116e-05,5.695e-06,7.639e-05
420,0.00010365,3.368e-05,8.3e-06,0.00014466
422,0.00016942,5.126e-05,1.1597e-05,0.0002426
424,0.0002357,6.913e-05,1.587e-05,0.0003685
426,0.0002953,8.619e-05,2.123e-05,0.0005291
428,0.00035,0.0001015,2.724e-05,0.0007147
430,0.0003925,0.00011397,3.304e-05,0.0008786
432,0.0004149,0.00012137,3.785e-05,0.0009937
434,0.0004013,0.000119,4.102e-05,0.0010364
436,0.0003374,0.0001033,4.169e-05,0.0010043
438,0.0002397,7.851e-05,4e-05,0.0009129
440,0.00014003,5.412e-05,3.771e-05,0.0007712
442,7.559e-05,3.964e-05,3.454e-05,0.0005835
444,5.511e-05,3.634e-05,3.221e-05,0.0004008
446,5.317e-05,3.73e-05,3.069e-05,0.0002471
448,5.58e-05,4e-05,3.155e-05,0.00015238
450,5.997e-05,4.368e-05,3.418e-05,0.00011601
452,6.263e-05,4.592e-05,3.654e-05,0.00010813
454,6.276e-05,4.639e-05,3.809e-05,0.00010496
456,6.188e-05,4.688e-05,3.929e-05,0.00010504
458,6.454e-05,4.912e-05,4.208e-05,0.00010642
460,6.686e-05,5.161e-05,4.499e-05,0.00010759
462,6.989e-05,5.349e-05,4.797e-05,0.00010986
464,7.384e-05,5.654e-05,5.142e-05,0.00011261
466,7.713e-05,5.92e-05,5.581e-05,0.00011746
468,8.375e-05,6.362e-05,6.19e-05,0.00012383
470,8.529e-05,6.353e-05,6.431e-05,0.00012325
472,8.349e-05,6.171e-05,6.511e-05,0.00012055
474,8.241e-05,5.921e-05,6.554e-05,0.00011811
476,7.938e-05,5.551e-05,6.451e-05,0.00010979
478,7.697e-05,5.386e-05,6.448e-05,0.00010713
480,8.03e-05,5.467e-05,6.874e-05,0.00010952
482,8.31e-05,5.751e-05,7.516e-05,0.00011358
484,8.44e-05,6.109e-05,7.895e-05,0.00011222
486,8.287e-05,7.047e-05,8.323e-05,0.00011108
488,8.331e-05,0.00011032,0.00010082,0.00011385
490,8.699e-05,0.0002523,0.00016559,0.00012637
492,9.371e-05,0.0005997,0.000329,0.00015532
494,9.836e-05,0.0012066,0.0006191,0.00019728
496,0.00010214,0.0018547,0.0009106,0.0002366
498,0.00011592,0.002479,0.0011412,0.0002671
500,0.00014209,0.003051,0.0012917,0.0002865
502,0.00017282,0.003538,0.0013786,0.0002972
504,0.00019735,0.003893,0.0014223,0.0003027
506,0.0002105,0.004032,0.0014114,0.0002979
508,0.0002149,0.003851,0.0012851,0.0002761
510,0.0002166,0.00336,0.0010176,0.0002364
512,0.0002139,0.002678,0.00067,0.0001971
514,0.0002006,0.0019804,0.0003824,0.00017287
516,0.00017596,0.0013722,0.0002345,0.00016281
518,0.000151,0.0008463,0.00018548,0.00016181
520,0.00013801,0.0005122,0.0001736,0.00016102
522,0.00013519,0.0003678,0.00016716,0.00016021
