Wavelength [nm],Background (Mel),Modulation (Mel),Background (LMS),Modulation (LMS)
380,6.758e-06,9.415e-06,4.698e-06,2.1367e-05
382,6.837e-06,9.439e-06,3.741e-06,1.8536e-05
384,6.355e-06,9.421e-06,4.324e-06,1.9934e-05
386,8.214e-06,1.1536e-05,3.945e-06,1.832e-05
388,7.398e-06,1.0406e-05,3.961e-06,1.5375e-05
390,6.628e-06,9.921e-06,4.321e-06,1.4337e-05
392,7.25e-06,1.0321e-05,4.27e-06,1.4287e-05
394,7.128e-06,1.0221e-05,3.981e-06,1.3585e-05
396,8.326e-06,1.0504e-05,3.829e-06,1.1364e-05
398,7.424e-06,1.1589e-05,4.008e-06,1.6435e-05
400,5.691e-06,1.1086e-05,3.924e-06,1.3059e-05
402,7.674e-06,9.867e-06,4.033e-06,1.2264e-05
404,7.701e-06,9.676e-06,4.333e-06,1.3179e-05
406,7.722e-06,9.964e-06,4.496e-06,1.371e-05
408,6.704e-06,9.62e-06,3.935e-06,1.4378e-05
410,7.106e-06,8.996e-06,4.032e-06,1.5936e-05
412,8.967e-06,1.0149e-05,4.421e-06,1.8555e-05
414,1.6613e-05,1.1503e-05,4.132e-06,2.906e-05
416,3.574e-05,1.7141e-05,4.512e-06,5.708e-05
418,8.071e-05,2.993e-05,5.516e-06,0.00011469
420,0.00015106,4.892e-05,7.306e-06,0.000213
422,0.0002343,7.206e-05,9.409e-06,0.0003489
424,0.000319,9.371e-05,1.2807e-05,0.0005204
426,0.0003999,0.00011746,1.7077e-05,0.0007423
428,0.0004692,0.00013785,2.244e-05,0.0009799
430,0.0005187,0.0001527,2.731e-05,0.0011792
432,0.0005265,0.00015618,3.125e-05,0.0012947
434,0.0004679,0.0001432,3.431e-05,0.0012967
436,0.0003493,0.00011372,3.588e-05,0.0012007
438,0.0002116,8.037e-05,3.682e-05,0.0010404
440,0.0001068,5.549e-05,3.73e-05,0.0008286
442,6.055e-05,4.682e-05,3.694e-05,0.0005684
444,5.181e-05,4.668e-05,3.659e-05,0.0003459
446,5.3e-05,4.96e-05,3.801e-05,0.00019285
448,5.654e-05,5.392e-05,4.114e-05,0.00012266
450,6.152e-05,5.932e-05,4.576e-05,0.00010581
452,6.504e-05,6.373e-05,4.973e-05,0.00010598
454,6.57e-05,6.592e-05,5.185e-05,0.00010475
456,6.755e-05,7.015e-05,5.474e-05,0.00010638
458,7.133e-05,7.451e-05,5.901e-05,0.00010894
460,7.528e-05,7.902e-05,6.276e-05,0.00011238
462,7.842e-05,8.399e-05,6.675e-05,0.0001149
464,8.304e-05,8.886e-05,7.128e-05,0.00011822
