Wavelength [nm],Background (Mel),Modulation (Mel),Background (LMS),Modulation (LMS)
380,8.03e-06,1.0763e-05,3.774e-06,1.9871e-05
382,6.575e-06,1.227e-05,3.701e-06,1.9258e-05
384,7.652e-06,1.2598e-05,3.455e-06,1.6987e-05
386,7.251e-06,1.171e-05,3.95e-06,1.6439e-05
388,9.434e-06,1.1754e-05,4.063e-06,1.6804e-05
390,7.098e-06,1.0544e-05,3.785e-06,1.5596e-05
392,7.226e-06,1.2343e-05,3.543e-06,1.6239e-05
394,6.311e-06,1.1436e-05,4.337e-06,1.26e-05
396,4.761e-06,1.0559e-05,3.898e-06,1.3657e-05
398,5.605e-06,1.1116e-05,3.835e-06,1.3748e-05
400,5.598e-06,1.0889e-05,3.73e-06,1.3719e-05
402,5.323e-06,1.0717e-05,4.276e-06,1.3e-05
404,6.087e-06,9.656e-06,4.124e-06,1.2209e-05
406,6.184e-06,9.185e-06,3.906e-06,1.2465e-05
408,6.51e-06,8.825e-06,4.009e-06,1.1258e-05
410,5.883e-06,8.68e-06,4.195e-06,1.1807e-05
412,8.582e-06,8.555e-06,4.059e-06,1.4257e-05
414,1.1672e-05,9.206e-06,4.369e-06,1.8318e-05
416,2.294e-05,1.2006e-05,4.854e-06,3.366e-05
418,5.146e-05,2.039e-05,5.851e-06,7.192e-05
420,0.00010123,3.433e-05,8.338e-06,0.00014181
422,0.00016575,5.225e-05,1.2069e-05,0.0002382
424,0.0002299,6.957e-05,1.6334e-05,0.0003631
426,0.0002906,8.65e-05,2.177e-05,0.0005213
428,0.0003434,0.00010291,2.824e-05,0.0007015
430,0.0003863,0.00011529,3.401e-05,0.000864
432,0.000409,0.00012224,3.907e-05,0.0009776
434,0.0003955,0.00011971,4.2e-05,0.0010218
436,0.0003331,0.0001037,4.258e-05,0.0009901
438,0.0002372,7.901e-05,4.108e-05,0.0009016
440,0.000139,5.521e-05,3.888e-05,0.0007617
442,7.433e-05,3.996e-05,3.552e-05,0.0005776
444,5.567e-05,3.67e-05,3.305e-05,0.0003982
446,5.236e-05,3.722e-05,3.11e-05,0.0002455
448,5.507e-05,3.978e-05,3.179e-05,0.00014986
450,5.969e-05,4.307e-05,3.444e-05,0.00011552
452,6.268e-05,4.516e-05,3.678e-05,0.00010745
454,6.198e-05,4.6e-05,3.8e-05,0.00010393
456,6.15e-05,4.737e-05,3.941e-05,0.00010301
458,6.423e-05,4.943e-05,4.212e-05,0.00010519
460,6.613e-05,5.202e-05,4.477e-05,0.00010635
462,6.856e-05,5.469e-05,4.797e-05,0.00010755
464,7.169e-05,5.729e-05,5.157e-05,0.00011011
466,7.622e-05,5.988e-05,5.578e-05,0.00011443
468,8.24e-05,6.483e-05,6.154e-05,0.00012203
470,8.36e-05,6.343e-05,6.354e-05,0.00012085
472,8.222e-05,6.257e-05,6.387e-05,0.00011756
474,8.207e-05,6.038e-05,6.441e-05,0.00011491
476,7.798e-05,5.628e-05,6.323e-05,0.00010873
478,7.647e-05,5.46e-05,6.311e-05,0.00010498
480,7.85e-05,5.566e-05,6.721e-05,0.00010651
482,8.335e-05,5.88e-05,7.35e-05,0.00010977
484,8.379e-05,6.173e-05,7.726e-05,0.00010926
486,8.208e-05,7.055e-05,8.186e-05,0.0001075
488,8.244e-05,0.00010989,9.87e-05,0.00010976
490,8.538e-05,0.0002506,0.0001627,0.00012219
492,9.22e-05,0.0005939,0.0003246,0.00015173
494,9.631e-05,0.0011966,0.0006119,0.00019315
496,0.00010127,0.0018424,0.0009023,0.0002322
498,0.00011431,0.00247,0.0011328,0.000262
500,0.00013968,0.003042,0.0012829,0.0002809
502,0.00017037,0.003526,0.0013689,0.0002921
504,0.00019374,0.003872,0.0014106,0.0002958
506,0.0002057,0.004002,0.0013967,0.0002908
508,0.0002115,0.003812,0.001269,0.0002705
510,0.0002121,0.003312,0.0010015,0.0002306
512,0.0002096,0.002633,0.0006575,0.00019317
514,0.00019617,0.0019495,0.0003752,0.00017009
516,0.00017228,0.0013539,0.0002306,0.00016122
518,0.00014686,0.0008404,0.00018356,0.00015909
520,0.0001338,0.000513,0.00017232,0.00016071
522,0.00013032,0.0003703,0.00016603,0.00016084
524,0.00013131,0.0003192,0.00015993,0.00015995
526,0.00013334,0.0002963,0.00015459,0.00015878
528,0.0001351,0.0002774,0.00014893,0.00015568
530,0.00013672,0.000258,0.00014313,0.00015098
532,0.00013793,0.0002418,0.0001399,0.0001452
534,0.00014018,0.0002279,0.00013739,0.00014031
536,0.00014048,0.000216,0.00013581,0.00013541
538,0.0001419,0.0002076,0.00013504,0.00013119
540,0.00014173,0.000201,0.00013485,0.00012774
542,0.00014149,0.00019645,0.00013536,0.00012778
544,0.00013927,0.00019427,0.00013695,0.00013009
546,0.0001344,0.000192,0.00013788,0.00013576
548,0.00012746,0.0001908,0.00013897,0.00014215
550,0.00012083,0.00018942,0.00014027,0.00015257
552,0.00011361,0.00018883,0.00014098,0.00017027
554,0.0001081,0.00018843,0.00014165,0.0002301
556,0.00010395,0.00018772,0.00014203,0.000398
558,0.00010206,0.00018723,0.000142,0.0007394
560,0.00010347,0.00018744,0.00014241,0.0012643
562,0.00010816,0.00018685,0.00014229,0.0019773
564,0.00012917,0.00018443,0.00014127,0.003005
566,0.0002049,0.00018265,0.00014028,0.004123
568,0.0004211,0.00018049,0.00013921,0.005252
570,0.000835,0.0001766,0.00013754,0.006345
572,0.0014443,0.00017326,0.00013546,0.00735
574,0.002293,0.000172,0.00013293,0.008259
576,0.003357,0.00017711,0.00013138,0.009008
578,0.00441,0.00019173,0.00013447,0.009529
580,0.005452,0.0002205,0.00014553,0.009881
582,0.006417,0.0002763,0.00016787,0.010066
584,0.00723,0.0003876,0.0002072,0.010095
586,0.007849,0.0006423,0.0002853,0.009977
588,0.008143,0.0009789,0.0003926,0.009803
590,0.008138,0.0013069,0.0005309,0.009561
592,0.007729,0.0015237,0.0007017,0.009266
594,0.006883,0.0016067,0.0009053,0.008934
596,0.005597,0.0015963,0.0011537,0.008533
598,0.004356,0.0015434,0.0013981,0.008162
600,0.003246,0.0014931,0.0016454,0.007808
602,0.002315,0.0015212,0.001887,0.007471
604,0.0015682,0.0017418,0.002116,0.007145
606,0.0009617,0.002274,0.002335,0.006763
608,0.0006271,0.003021,0.002471,0.006295
610,0.0004922,0.003871,0.002497,0.005698
612,0.0004412,0.00476,0.002409,0.004981
614,0.0004193,0.005627,0.002206,0.004215
616,0.0004116,0.006475,0.0018751,0.003385
618,0.0004164,0.007123,0.0014924,0.002607
620,0.0004347,0.007523,0.0011099,0.001916
622,0.0004727,0.007724,0.0007577,0.0013031
624,0.0005349,0.007714,0.0005292,0.0008807
626,0.0006366,0.007571,0.0005447,0.0007925
628,0.0007571,0.007326,0.0007919,0.0010075
630,0.0008857,0.007043,0.0011265,0.0013504
632,0.0010166,0.006734,0.0014875,0.0017257
634,0.0011521,0.006408,0.0018531,0.002109
636,0.0012961,0.006045,0.002248,0.002527
638,0.0014267,0.005726,0.002596,0.002898
640,0.0015519,0.005456,0.002892,0.003196
642,0.0016728,0.005222,0.003112,0.003379
644,0.0017895,0.005025,0.003251,0.003445
646,0.0019226,0.004829,0.003313,0.00344
648,0.002034,0.004667,0.003322,0.003411
650,0.002113,0.004481,0.003288,0.003346
652,0.002162,0.004248,0.003185,0.003214
654,0.00219,0.004002,0.003,0.002994
656,0.002213,0.003763,0.002681,0.002652
658,0.002239,0.003591,0.002326,0.002299
660,0.002267,0.003448,0.0019562,0.0019417
662,0.002286,0.00332,0.0015862,0.0015849
664,0.002273,0.003168,0.0012069,0.0012156
666,0.002168,0.002935,0.0008391,0.0008556
668,0.0019839,0.002633,0.0005402,0.0005625
670,0.0017485,0.002284,0.0003232,0.0003522
672,0.0014877,0.0019177,0.000208,0.0002414
674,0.0011789,0.0015067,0.00016238,0.00019677
676,0.000892,0.001143,0.0001471,0.00018215
678,0.0006274,0.0008127,0.00013969,0.00017467
680,0.000405,0.0005327,0.00013439,0.00016912
682,0.0002591,0.0003488,0.00013142,0.00017005
684,0.00018887,0.000262,0.00012827,0.0001668
686,0.00016841,0.0002295,0.00012268,0.00016318
688,0.00015794,0.0002101,0.00011603,0.00015629
690,0.00014777,0.00019349,0.00010979,0.00015194
692,0.00013996,0.00017805,0.00010158,0.00014157
694,0.00012876,0.00016266,9.393e-05,0.00013473
696,0.00012103,0.00014808,8.648e-05,0.00013088
698,0.00011322,0.00013796,8.091e-05,0.00012628
700,0.00010701,0.00012796,7.542e-05,0.00012083
702,0.00010302,0.00011819,7.059e-05,0.00011845
704,9.888e-05,0.00011321,6.667e-05,0.00011205
706,9.231e-05,0.00010824,6.372e-05,0.00010703
708,9.029e-05,0.00010547,6.108e-05,0.00010506
710,8.524e-05,0.0001006,5.945e-05,0.00010502
712,8.487e-05,9.999e-05,5.68e-05,0.00010321
714,8.28e-05,9.985e-05,5.519e-05,0.00010131
716,7.921e-05,9.65e-05,5.238e-05,9.705e-05
718,7.365e-05,9.043e-05,5.112e-05,9.071e-05
720,7.054e-05,8.859e-05,4.723e-05,8.604e-05
722,6.533e-05,8.135e-05,4.504e-05,8.167e-05
724,6.155e-05,8.069e-05,4.438e-05,7.805e-05
726,5.469e-05,7.887e-05,4.346e-05,7.529e-05
728,5.79e-05,7.641e-05,4.223e-05,7.26e-05
730,5.507e-05,7.676e-05,4.333e-05,7.039e-05
732,5.204e-05,7.715e-05,4.238e-05,7.128e-05
734,4.867e-05,7.302e-05,4.066e-05,6.728e-05
736,4.166e-05,6.684e-05,3.673e-05,6.237e-05
738,3.525e-05,6.204e-05,3.254e-05,5.13e-05
740,3.112e-05,5.593e-05,2.905e-05,4.665e-05
742,2.772e-05,5.103e-05,2.774e-05,3.502e-05
744,2.638e-05,4.518e-05,2.367e-05,3.286e-05
746,2.167e-05,4.472e-05,2.064e-05,2.848e-05
748,1.9061e-05,4.3e-05,2.0133e-05,2.419e-05
750,2.103e-05,4.289e-05,1.8728e-05,2.0543e-05
752,1.9909e-05,4.194e-05,1.8841e-05,2.855e-05
754,2.322e-05,4.047e-05,1.8147e-05,3.11e-05
756,2.1376e-05,4.102e-05,1.9256e-05,3.343e-05
758,2.52e-05,4.179e-05,1.7957e-05,4.129e-05
760,2.559e-05,4.443e-05,1.8583e-05,4.537e-05
762,2.704e-05,4.106e-05,1.9659e-05,5.135e-05
764,3.145e-05,4.316e-05,2.1504e-05,5.188e-05
766,2.907e-05,4.115e-05,2.1895e-05,6.104e-05
768,3.359e-05,4.28e-05,2.263e-05,6.31e-05
770,3.781e-05,4.715e-05,2.27e-05,6.46e-05
772,3.815e-05,4.492e-05,2.268e-05,7.232e-05
774,3.899e-05,4.878e-05,2.211e-05,7.985e-05
776,3.469e-05,4.907e-05,2.394e-05,8.3e-05
778,5.14e-05,4.379e-05,2.515e-05,8.048e-05
780,4.639e-05,4.368e-05,2.702e-05,9.754e-05
