Wavelength [nm],Background (Mel),Modulation (Mel),Background (LMS),Modulation (LMS)
380,8.409e-06,1.0072e-05,5.51e-06,1.7879e-05
382,7.6e-06,1.0241e-05,4.762e-06,1.7867e-05
384,6.533e-06,1.1396e-05,5.473e-06,1.6143e-05
386,6.71e-06,8.533e-06,5.006e-06,1.6827e-05
388,6.907e-06,9.977e-06,4.756e-06,1.5833e-05
390,4.955e-06,9.352e-06,4.244e-06,1.4783e-05
392,5.498e-06,9.359e-06,4.595e-06,1.4667e-05
394,4.861e-06,9.664e-06,3.911e-06,1.2873e-05
396,3.414e-06,9.045e-06,4.412e-06,1.4784e-05
398,5.549e-06,8.054e-06,3.903e-06,1.3912e-05
400,2.973e-06,9.38e-06,3.86e-06,1.2073e-05
402,3.525e-06,8.525e-06,3.439e-06,1.3373e-05
404,4.416e-06,8.019e-06,3.453e-06,1.4052e-05
406,5.062e-06,7.086e-06,3.327e-06,1.2506e-05
408,4.165e-06,7.902e-06,2.974e-06,1.4409e-05
410,5.969e-06,7.565e-06,2.956e-06,1.4662e-05
412,6.609e-06,7.046e-06,2.573e-06,1.5641e-05
414,1.2823e-05,8.998e-06,2.936e-06,2.436e-05
416,2.955e-05,1.2589e-05,3.445e-06,4.56e-05
418,6.689e-05,2.25e-05,4.193e-06,9.513e-05
420,0.00012496,3.785e-05,5.415e-06,0.00017536
422,0.00019552,5.601e-05,7.328e-06,0.0002884
424,0.0002669,7.467e-05,9.496e-06,0.0004309
426,0.000334,9.323e-05,1.2672e-05,0.0006115
428,0.0003941,0.00011074,1.6562e-05,0.000813
430,0.0004382,0.0001232,2.0013e-05,0.0009828
432,0.0004458,0.00012569,2.292e-05,0.0010827
434,0.0004002,0.00011524,2.515e-05,0.0010901
436,0.0003002,9.229e-05,2.676e-05,0.0010151
438,0.00018453,6.51e-05,2.805e-05,0.0008823
440,9.654e-05,4.56e-05,2.899e-05,0.000705
442,5.485e-05,3.855e-05,2.906e-05,0.0004903
444,4.682e-05,3.938e-05,3.013e-05,0.0003026
446,4.871e-05,4.151e-05,3.157e-05,0.00017075
448,5.208e-05,4.515e-05,3.434e-05,0.00011073
450,5.589e-05,4.989e-05,3.802e-05,9.662e-05
452,5.9e-05,5.359e-05,4.152e-05,9.622e-05
454,5.928e-05,5.515e-05,4.327e-05,9.447e-05
456,6.093e-05,5.775e-05,4.604e-05,9.5e-05
458,6.353e-05,6.226e-05,4.991e-05,9.754e-05
460,6.69e-05,6.666e-05,5.343e-05,0.00010007
462,7.055e-05,7.115e-05,5.717e-05,0.00010221
464,7.541e-05,7.65e-05,6.139e-05,0.00010466
466,7.811e-05,8.287e-05,6.606e-05,0.00010885
468,8.288e-05,8.998e-05,7.213e-05,0.00011297
470,8.544e-05,9.445e-05,7.621e-05,0.00011364
472,8.615e-05,9.699e-05,7.815e-05,0.00011251
474,8.468e-05,9.804e-05,7.957e-05,0.00011162
476,8.129e-05,9.716e-05,7.883e-05,0.00010826
478,8.025e-05,9.853e-05,7.93e-05,0.00010414
480,8.233e-05,0.00010431,8.353e-05,0.00010522
482,8.667e-05,0.00011196,9.033e-05,0.00010964
484,8.819e-05,0.000118,9.487e-05,0.00011099
486,8.713e-05,0.0001253,0.00010112,0.00010959
488,8.814e-05,0.00015212,0.0001248,0.00011096
490,9.19e-05,0.0002366,0.00019993,0.00012144
492,9.692e-05,0.000422,0.00036,0.00013939
494,0.000102,0.0007564,0.0006112,0.00016575
496,0.00010604,0.0012081,0.0008534,0.0001931
498,0.00011365,0.0017954,0.0010553,0.0002245
500,0.0001286,0.002476,0.0012138,0.0002576
502,0.00014482,0.003125,0.0013264,0.0002882
504,0.00015661,0.003618,0.0013887,0.0003083
506,0.00016301,0.003871,0.0013645,0.0003124
508,0.00016612,0.003838,0.0012011,0.0002983
510,0.0001665,0.003582,0.0009268,0.0002762
512,0.00016353,0.003117,0.000631,0.0002497
