Wavelength [nm],Background (Mel),Modulation (Mel),Background (LMS),Modulation (LMS)
612,0.0004872,0.005195,0.002613,0.005431
614,0.0004629,0.006135,0.002386,0.004598
616,0.0004526,0.007046,0.0020178,0.003694
618,0.0004572,0.007724,0.0015984,0.002848
620,0.0004761,0.008154,0.0011825,0.002092
622,0.0005188,0.008375,0.0008023,0.0014282
624,0.0005889,0.008409,0.0005625,0.0009723
626,0.0006968,0.00827,0.0005957,0.000875
628,0.0008305,0.008011,0.0008807,0.0011245
630,0.000974,0.00771,0.0012572,0.0015065
632,0.0011184,0.007373,0.0016589,0.0019246
634,0.0012658,0.007016,0.002062,0.002346
636,0.0014202,0.006613,0.002491,0.002799
638,0.0015538,0.006257,0.002861,0.003188
640,0.0016828,0.005941,0.003169,0.003498
642,0.0018027,0.005651,0.003393,0.003675
644,0.0019209,0.005405,0.003525,0.003723
646,0.002057,0.00517,0.003574,0.003703
648,0.002175,0.00499,0.003576,0.003667
650,0.002266,0.00479,0.003535,0.0036
652,0.002323,0.00455,0.003431,0.003468
654,0.002361,0.004315,0.003241,0.003249
656,0.002407,0.004093,0.002912,0.002894
658,0.002454,0.003938,0.002544,0.002532
660,0.002501,0.003808,0.002151,0.002148
662,0.002532,0.003682,0.001752,0.0017634
664,0.002515,0.003511,0.0013321,0.0013547
666,0.002392,0.003242,0.0009242,0.0009558
668,0.002176,0.002895,0.0005953,0.0006298
670,0.0019077,0.0025,0.0003598,0.0003967
672,0.001615,0.00209,0.0002388,0.0002726
674,0.0012733,0.0016352,0.00018979,0.0002249
676,0.000959,0.00123,0.00017265,0.0002075
678,0.0006701,0.0008694,0.00016258,0.00019706
680,0.0004298,0.0005701,0.00015562,0.0001887
682,0.0002748,0.0003752,0.00015172,0.00019008
684,0.000208,0.0002838,0.00014657,0.00018503
686,0.00018509,0.0002507,0.00013969,0.0001795
688,0.00017119,0.0002295,0.00013143,0.00017389
690,0.00016379,0.0002129,0.00012408,0.00016727
692,0.00015403,0.00019451,0.00011488,0.00015779
694,0.00014229,0.00017777,0.00010552,0.0001522
696,0.00013417,0.00016401,9.756e-05,0.00014224
698,0.00012578,0.00015242,9.07e-05,0.00013875
700,0.00011972,0.00014396,8.498e-05,0.00013449
702,0.00011369,0.00013432,7.931e-05,0.00012959
704,0.00010904,0.00012607,7.543e-05,0.00012601
706,0.00010631,0.00012123,7.131e-05,0.00012301
708,0.00010184,0.0001179,6.835e-05,0.0001206
