Wavelength [nm],Background (Mel),Modulation (Mel),Background (LMS),Modulation (LMS)
380,8.847e-06,1.0389e-05,3.742e-06,1.3426e-05
382,8.352e-06,1.0668e-05,3.464e-06,1.3347e-05
384,8.661e-06,1.0053e-05,3.968e-06,1.246e-05
386,7.909e-06,1.0413e-05,3.757e-06,1.4445e-05
388,8.046e-06,1.0158e-05,3.729e-06,1.5629e-05
390,7.414e-06,1.0582e-05,3.782e-06,1.5055e-05
392,6.858e-06,1.0244e-05,3.97e-06,1.478e-05
394,6.225e-06,9.657e-06,3.731e-06,1.4508e-05
396,6.369e-06,9.284e-06,3.195e-06,1.3279e-05
398,5.246e-06,8.354e-06,2.779e-06,1.401e-05
400,5.488e-06,9.394e-06,3.131e-06,1.2781e-05
402,6.139e-06,8.856e-06,3.323e-06,1.2377e-05
404,5.848e-06,8.221e-06,3.239e-06,1.1752e-05
406,6.641e-06,8.143e-06,3.012e-06,1.1759e-05
408,5.284e-06,7.092e-06,3.035e-06,1.0909e-05
410,5.996e-06,6.588e-06,2.536e-06,1.2441e-05
412,5.907e-06,7.217e-06,2.923e-06,1.2902e-05
414,9.114e-06,7.709e-06,3.396e-06,1.6681e-05
416,2.0213e-05,1.0374e-05,3.539e-06,3.108e-05
418,4.672e-05,1.6883e-05,4.978e-06,6.637e-05
420,9.196e-05,2.969e-05,6.808e-06,0.00012718
422,0.0001514,4.499e-05,9.763e-06,0.0002142
424,0.0002103,5.943e-05,1.3446e-05,0.0003264
426,0.000265,7.501e-05,1.8044e-05,0.0004707
428,0.0003136,8.882e-05,2.333e-05,0.0006369
430,0.000352,9.943e-05,2.783e-05,0.0007835
432,0.0003722,0.00010556,3.168e-05,0.0008856
434,0.0003604,0.00010364,3.425e-05,0.0009247
436,0.0003031,8.983e-05,3.472e-05,0.0008965
438,0.0002151,6.895e-05,3.372e-05,0.0008155
440,0.0001258,4.785e-05,3.216e-05,0.0006904
442,6.756e-05,3.58e-05,3.029e-05,0.0005252
444,4.926e-05,3.326e-05,2.84e-05,0.000364
446,4.758e-05,3.416e-05,2.751e-05,0.0002231
448,5.035e-05,3.641e-05,2.873e-05,0.00013774
450,5.414e-05,3.986e-05,3.151e-05,0.00010657
452,5.623e-05,4.167e-05,3.365e-05,9.928e-05
454,5.578e-05,4.189e-05,3.461e-05,9.577e-05
456,5.611e-05,4.261e-05,3.623e-05,9.551e-05
458,5.745e-05,4.523e-05,3.872e-05,9.671e-05
460,6.041e-05,4.754e-05,4.133e-05,9.837e-05
462,6.244e-05,5.043e-05,4.413e-05,9.988e-05
464,6.652e-05,5.261e-05,4.726e-05,0.00010105
466,6.985e-05,5.571e-05,5.125e-05,0.0001058
468,7.594e-05,5.947e-05,5.656e-05,0.00011172
470,7.731e-05,6.042e-05,5.887e-05,0.00011165
472,7.604e-05,5.959e-05,5.936e-05,0.00010865
474,7.452e-05,5.729e-05,5.985e-05,0.00010602
476,7.228e-05,5.426e-05,5.863e-05,0.00010075
478,6.993e-05,5.217e-05,5.884e-05,9.687e-05
480,7.316e-05,5.304e-05,6.301e-05,9.848e-05
482,7.777e-05,5.53e-05,6.925e-05,0.00010176
484,7.739e-05,5.899e-05,7.305e-05,0.00010186
486,7.631e-05,6.771e-05,7.67e-05,0.00010015
488,7.677e-05,0.00010394,9.21e-05,0.00010163
490,8.036e-05,0.0002337,0.00015054,0.00011417
492,8.585e-05,0.0005492,0.0002979,0.00014049
494,9.027e-05,0.0011007,0.0005585,0.00017836
496,9.391e-05,0.0016821,0.0008197,0.0002144
498,0.00010633,0.002242,0.0010258,0.0002429
500,0.00012912,0.002756,0.0011612,0.0002599
502,0.00015626,0.003194,0.0012389,0.0002687
504,0.00017833,0.003508,0.0012754,0.0002724
506,0.00018981,0.003627,0.0012616,0.0002664
508,0.00019344,0.00346,0.0011472,0.000246
510,0.00019329,0.003017,0.0009088,0.000212
512,0.00018889,0.002403,0.0006,0.00017745
514,0.00017664,0.0017798,0.0003442,0.00015552
516,0.00015657,0.001238,0.0002126,0.00014793
518,0.00013391,0.0007684,0.00016923,0.00014722
520,0.00012289,0.000469,0.0001585,0.00014853
522,0.00012015,0.0003382,0.00015256,0.00014783
524,0.0001201,0.0002904,0.0001463,0.0001469
526,0.00012145,0.0002684,0.00014065,0.00014517
528,0.00012324,0.0002507,0.0001353,0.0001418
530,0.0001247,0.0002327,0.00012972,0.00013559
532,0.0001267,0.0002176,0.00012707,0.00013025
534,0.00012795,0.0002056,0.00012517,0.0001251
536,0.00012885,0.00019462,0.00012425,0.00012025
538,0.00013031,0.00018708,0.00012392,0.0001169
540,0.00013061,0.00018135,0.00012422,0.00011395
542,0.00012999,0.00017602,0.00012418,0.00011402
544,0.00012862,0.00017373,0.00012534,0.0001169
546,0.0001239,0.0001713,0.00012608,0.00012244
548,0.00011828,0.00016973,0.00012666,0.00012971
550,0.00011182,0.00016865,0.00012759,0.00013945
552,0.0001054,0.00016804,0.00012809,0.00015576
554,9.914e-05,0.00016758,0.00012844,0.0002101
556,9.571e-05,0.0001674,0.00012843,0.0003625
558,9.425e-05,0.00016803,0.00012865,0.0006772
560,9.479e-05,0.00016827,0.00012899,0.0011583
562,0.00010007,0.00016787,0.00012912,0.001812
564,0.00011991,0.00016633,0.00012812,0.002752
566,0.00018915,0.00016409,0.00012748,0.003762
568,0.0003869,0.0001611,0.00012637,0.004786
570,0.0007676,0.0001563,0.00012428,0.005784
572,0.0013251,0.00015189,0.00012227,0.006703
574,0.002094,0.00015054,0.00012018,0.007512
576,0.003054,0.00015556,0.00011964,0.00817
578,0.003997,0.00017299,0.00012588,0.008623
580,0.004921,0.0002122,0.00014435,0.008928
582,0.005773,0.0002833,0.00017869,0.009087
584,0.006489,0.000409,0.0002317,0.009124
586,0.007041,0.0006678,0.0003191,0.009035
588,0.007312,0.0009932,0.0004276,0.008892
590,0.007328,0.0013058,0.0005609,0.008689
592,0.006982,0.0015108,0.0007203,0.008436
594,0.006229,0.001587,0.0009028,0.008145
596,0.005058,0.0015607,0.0011165,0.007791
598,0.003923,0.0014872,0.001317,0.00746
600,0.002914,0.001412,0.0015163,0.007139
602,0.002072,0.0014115,0.001711,0.006831
604,0.0014059,0.0015866,0.0018954,0.006535
606,0.0008739,0.002042,0.002071,0.006191
608,0.0005911,0.002698,0.00218,0.005785
610,0.0004896,0.003456,0.002201,0.005256
612,0.0004624,0.004253,0.002122,0.004608
614,0.0004613,0.005031,0.0019443,0.003914
616,0.0004684,0.005792,0.0016537,0.00315
618,0.0004816,0.006375,0.0013178,0.002427
620,0.0005032,0.006734,0.0009818,0.0017818
622,0.0005393,0.006918,0.0006733,0.0012111
624,0.0005957,0.006945,0.0004741,0.0008129
626,0.0006825,0.006835,0.0004922,0.0007259
628,0.0007884,0.006622,0.0007157,0.0009371
630,0.0009019,0.006365,0.001016,0.0012589
632,0.0010142,0.006079,0.0013384,0.0016098
634,0.0011306,0.005781,0.0016622,0.0019626
636,0.0012541,0.005448,0.002011,0.002347
638,0.001362,0.005155,0.002316,0.002682
640,0.0014654,0.004903,0.002576,0.00295
642,0.0015652,0.004677,0.002771,0.003112
644,0.0016631,0.004489,0.002894,0.003162
646,0.0017763,0.004307,0.002953,0.00315
648,0.0018745,0.004164,0.002967,0.00312
650,0.0019489,0.004008,0.002946,0.003062
652,0.0019931,0.003812,0.002867,0.00295
654,0.002021,0.003609,0.002714,0.002756
656,0.00205,0.003412,0.002438,0.002449
658,0.00208,0.003271,0.002126,0.002128
660,0.002108,0.003153,0.0017926,0.0017984
662,0.002125,0.003042,0.0014554,0.0014711
664,0.002107,0.002903,0.0011043,0.0011251
666,0.002007,0.002685,0.0007643,0.0007899
668,0.0018287,0.002401,0.0004888,0.0005156
670,0.0016046,0.002077,0.0002906,0.0003173
672,0.0013626,0.0017395,0.00018607,0.0002148
674,0.0010764,0.0013632,0.00014424,0.00017621
676,0.0008136,0.0010302,0.00013188,0.00016375
678,0.0005713,0.0007304,0.00012488,0.00015568
680,0.0003667,0.0004797,0.00012061,0.00015255
682,0.0002301,0.0003121,0.00011798,0.0001533
684,0.00017191,0.0002337,0.00011533,0.00015062
686,0.00015453,0.0002062,0.00011089,0.00014423
688,0.00014423,0.00018988,0.00010508,0.00014175
690,0.00013718,0.00017543,9.89e-05,0.00013481
692,0.00012831,0.00016095,9.161e-05,0.00012784
694,0.00011942,0.00014698,8.421e-05,0.00012194
696,0.00010957,0.00013427,7.802e-05,0.00011506
698,0.00010351,0.00012489,7.288e-05,0.0001116
700,9.957e-05,0.00011704,6.831e-05,0.00010668
