Wavelength [nm],Background (Mel),Modulation (Mel),Background (LMS),Modulation (LMS)
380,5.31e-06,8.183e-06,3.645e-06,1.8389e-05
382,7.158e-06,8.405e-06,3.55e-06,1.9295e-05
384,5.68e-06,9.457e-06,3.696e-06,1.7828e-05
386,6.976e-06,9.302e-06,3.431e-06,1.8459e-05
388,4.308e-06,9.522e-06,3.797e-06,1.7951e-05
390,4.452e-06,9.656e-06,3.898e-06,1.7161e-05
392,5.703e-06,9.795e-06,4.484e-06,1.6866e-05
394,4.355e-06,9.936e-06,4.336e-06,1.5793e-05
396,5.681e-06,9.834e-06,4.037e-06,1.5679e-05
398,4.43e-06,9.947e-06,4.195e-06,1.6533e-05
400,4.916e-06,8.735e-06,3.736e-06,1.6104e-05
402,4.774e-06,8.442e-06,3.536e-06,1.3813e-05
404,5.571e-06,8.339e-06,3.658e-06,1.2882e-05
406,6.46e-06,8.658e-06,3.302e-06,1.292e-05
408,6.481e-06,8.228e-06,3.306e-06,1.2758e-05
410,5.317e-06,8.382e-06,3.322e-06,1.3391e-05
412,7.753e-06,8.58e-06,2.878e-06,1.484e-05
414,1.0807e-05,1.0357e-05,3.693e-06,1.9505e-05
416,2.416e-05,1.336e-05,3.917e-06,3.662e-05
418,5.614e-05,2.185e-05,5.221e-06,7.879e-05
420,0.00011064,3.475e-05,7.86e-06,0.00015075
422,0.00018072,5.224e-05,1.041e-05,0.0002539
424,0.0002526,6.914e-05,1.4105e-05,0.0003873
426,0.0003164,8.611e-05,1.9307e-05,0.0005569
428,0.000373,0.00010182,2.518e-05,0.0007509
430,0.0004194,0.00011351,3.055e-05,0.0009241
432,0.0004456,0.00012049,3.528e-05,0.0010461
434,0.0004315,0.00011851,3.824e-05,0.0010954
436,0.0003647,0.00010318,3.899e-05,0.001063
438,0.0002595,7.846e-05,3.805e-05,0.0009639
440,0.00015195,5.363e-05,3.641e-05,0.0008152
442,8.18e-05,4.029e-05,3.405e-05,0.0006163
444,5.976e-05,3.625e-05,3.241e-05,0.0004255
446,5.567e-05,3.701e-05,3.169e-05,0.0002623
448,5.883e-05,4.019e-05,3.293e-05,0.00016115
450,6.348e-05,4.329e-05,3.601e-05,0.00012301
452,6.596e-05,4.511e-05,3.87e-05,0.00011437
454,6.517e-05,4.612e-05,3.973e-05,0.00011096
456,6.436e-05,4.664e-05,4.137e-05,0.00010829
458,6.715e-05,4.925e-05,4.428e-05,0.00011107
460,7.054e-05,5.165e-05,4.723e-05,0.00011327
462,7.259e-05,5.377e-05,5.027e-05,0.00011531
464,7.648e-05,5.565e-05,5.356e-05,0.00011813
466,8.015e-05,5.822e-05,5.788e-05,0.00012333
468,8.738e-05,6.181e-05,6.396e-05,0.0001309
470,8.817e-05,6.123e-05,6.608e-05,0.0001297
472,8.643e-05,5.896e-05,6.646e-05,0.0001272
474,8.447e-05,5.666e-05,6.667e-05,0.00012495
476,8.08e-05,5.302e-05,6.505e-05,0.0001182
478,7.956e-05,5.116e-05,6.481e-05,0.00011347
480,8.184e-05,5.207e-05,6.907e-05,0.00011418
482,8.597e-05,5.51e-05,7.488e-05,0.00011841
484,8.629e-05,5.956e-05,7.839e-05,0.00011862
486,8.573e-05,6.932e-05,8.232e-05,0.00011659
488,8.626e-05,0.00011028,0.00010029,0.0001189
490,8.997e-05,0.0002563,0.00016737,0.00013283
492,9.702e-05,0.0006164,0.0003379,0.0001632
494,0.00010072,0.0012542,0.0006424,0.0002089
496,0.00010577,0.0019359,0.0009482,0.0002506
498,0.00011948,0.002591,0.0011884,0.0002817
500,0.00014685,0.00319,0.0013434,0.0003011
502,0.00018012,0.003702,0.0014311,0.0003128
504,0.0002046,0.004072,0.0014757,0.0003178
506,0.0002187,0.004206,0.0014655,0.000313
508,0.0002238,0.004001,0.0013368,0.0002899
510,0.0002265,0.00347,0.0010589,0.0002488
512,0.0002229,0.002761,0.0006972,0.0002055
514,0.0002089,0.002052,0.0003989,0.00017923
516,0.00018293,0.0014308,0.0002464,0.00017047
518,0.00015466,0.0008894,0.00019649,0.00016841
520,0.00014135,0.0005448,0.00018402,0.00016571
522,0.00013696,0.0003939,0.00017685,0.00016464
524,0.00013777,0.0003385,0.00017015,0.00016076
526,0.00013915,0.0003122,0.0001641,0.00015682
528,0.0001412,0.0002931,0.00015794,0.00015223
530,0.00014223,0.0002722,0.00015211,0.00014381
532,0.0001436,0.0002546,0.00014876,0.00013586
534,0.00014407,0.0002396,0.00014662,0.00013119
536,0.0001443,0.0002267,0.00014511,0.00012611
538,0.00014431,0.0002169,0.00014462,0.00012273
540,0.00014269,0.00021,0.00014441,0.00012196
542,0.00014011,0.0002045,0.00014509,0.00012501
544,0.00013575,0.0002016,0.00014622,0.00013055
546,0.00013061,0.00019877,0.00014671,0.00013852
548,0.00012296,0.00019643,0.00014726,0.00014792
550,0.0001162,0.00019469,0.00014799,0.00015843
552,0.00010977,0.00019431,0.00014881,0.00017816
554,0.00010467,0.00019428,0.00014916,0.0002398
556,0.00010306,0.00019376,0.00014951,0.0004116
558,0.0001041,0.00019403,0.00014964,0.0007654
560,0.00010657,0.00019366,0.00014957,0.001308
562,0.0001135,0.00019213,0.00014888,0.00205
564,0.00013512,0.00018966,0.00014704,0.003123
566,0.0002145,0.00018637,0.0001451,0.004287
568,0.0004386,0.00018337,0.00014295,0.005473
570,0.0008705,0.00017761,0.00013997,0.00663
572,0.0015058,0.00017188,0.00013794,0.007678
574,0.002392,0.00017035,0.00013779,0.008613
576,0.003506,0.00017727,0.00014277,0.009382
578,0.004613,0.0002003,0.00015712,0.00992
580,0.005705,0.0002545,0.00018654,0.010275
582,0.006682,0.0003506,0.0002355,0.010454
584,0.00749,0.0005114,0.0003066,0.010479
586,0.0081,0.0008216,0.0004166,0.010384
588,0.008385,0.0011999,0.0005454,0.010221
590,0.008373,0.0015631,0.0006972,0.009999
592,0.007928,0.001802,0.0008726,0.00972
594,0.007039,0.0018868,0.0010702,0.009402
596,0.005706,0.0018473,0.001302,0.009023
598,0.004435,0.0017495,0.001521,0.008668
600,0.003325,0.0016467,0.0017397,0.008317
602,0.002395,0.0016286,0.0019536,0.007961
604,0.0016497,0.0018096,0.002156,0.007614
606,0.0010536,0.002314,0.00235,0.007214
608,0.0007388,0.003069,0.00247,0.006744
610,0.0006273,0.003957,0.00249,0.006138
612,0.0006018,0.004906,0.002396,0.005402
614,0.0006067,0.005843,0.002195,0.004607
616,0.0006237,0.00676,0.0018686,0.00373
618,0.0006432,0.007448,0.0014923,0.002887
620,0.0006671,0.007828,0.0011146,0.002127
622,0.000705,0.007964,0.0007651,0.0014536
624,0.0007631,0.007917,0.0005384,0.0009782
626,0.0008531,0.007723,0.000558,0.0008631
628,0.0009681,0.007454,0.0008108,0.0010948
630,0.0010916,0.007168,0.0011526,0.0014621
632,0.0012172,0.006866,0.001522,0.0018678
634,0.0013464,0.006554,0.0018969,0.002279
636,0.0014876,0.006201,0.002302,0.002728
638,0.0016078,0.005889,0.002653,0.003118
640,0.0017255,0.005612,0.002952,0.003428
642,0.0018365,0.005359,0.003174,0.003612
644,0.0019458,0.005147,0.003313,0.003666
646,0.002072,0.004943,0.003379,0.00365
648,0.002185,0.004785,0.003396,0.003619
650,0.002271,0.004609,0.003378,0.003556
652,0.002325,0.004393,0.003294,0.003424
654,0.002356,0.004167,0.003125,0.003209
656,0.002389,0.003949,0.002816,0.002851
658,0.002421,0.003784,0.002457,0.002483
660,0.002447,0.003642,0.00207,0.002098
662,0.002459,0.003504,0.001679,0.0017116
664,0.00243,0.003331,0.0012739,0.0013129
666,0.002306,0.003069,0.0008821,0.0009223
668,0.002095,0.002744,0.0005659,0.0006052
670,0.0018388,0.002374,0.0003382,0.000378
672,0.0015583,0.0019917,0.0002186,0.0002542
674,0.0012375,0.0015667,0.00017051,0.0002081
676,0.0009396,0.0011872,0.00015474,0.00019539
678,0.0006647,0.0008458,0.00014647,0.00018793
680,0.0004328,0.0005575,0.00014037,0.00018393
682,0.0002768,0.0003652,0.00013776,0.00018044
684,0.0002056,0.0002758,0.00013437,0.00018276
686,0.00018327,0.0002427,0.00012909,0.00017334
688,0.00017031,0.0002222,0.00012213,0.00016691
690,0.00016066,0.0002051,0.00011494,0.00016422
692,0.00015221,0.00018798,0.00010663,0.00015406
694,0.00014087,0.00017095,9.868e-05,0.00014556
696,0.00013278,0.00015828,9.149e-05,0.0001364
698,0.00012423,0.00014488,8.513e-05,0.0001342
700,0.00011551,0.00013759,7.921e-05,0.00012592
702,0.00011125,0.0001256,7.463e-05,0.00012109
704,0.00010526,0.00012079,7.022e-05,0.00011761
706,0.00010074,0.00011666,6.654e-05,0.00011306
708,9.731e-05,0.00011222,6.429e-05,0.00011033
710,9.383e-05,0.0001102,6.257e-05,0.00010919
712,9.35e-05,0.00010942,6.095e-05,0.00010403
714,9.076e-05,0.0001059,5.845e-05,0.00010412
716,8.621e-05,0.00010178,5.693e-05,9.755e-05
718,8.097e-05,9.87e-05,5.375e-05,9.147e-05
720,7.725e-05,9.343e-05,5.055e-05,8.867e-05
722,7.393e-05,9.164e-05,4.838e-05,8.153e-05
724,6.458e-05,8.817e-05,4.649e-05,8.189e-05
726,6.498e-05,8.657e-05,4.447e-05,7.472e-05
728,5.886e-05,8.493e-05,4.49e-05,7.169e-05
730,5.994e-05,8.464e-05,4.476e-05,7.229e-05
732,5.362e-05,8.626e-05,4.46e-05,7.304e-05
734,4.834e-05,8.148e-05,4.252e-05,6.965e-05
736,4.222e-05,7.396e-05,3.843e-05,6.653e-05
738,3.358e-05,6.933e-05,3.295e-05,5.725e-05
740,2.561e-05,6.346e-05,2.849e-05,5.277e-05
742,2.492e-05,6.222e-05,2.62e-05,4.618e-05
744,2.375e-05,5.214e-05,2.077e-05,3.975e-05
746,2.004e-05,4.721e-05,1.9993e-05,3.908e-05
748,1.77e-05,4.543e-05,1.7097e-05,3.59e-05
750,1.2947e-05,4.155e-05,1.7602e-05,3.7e-05
752,1.2907e-05,4.17e-05,1.6395e-05,3.084e-05
754,1.5963e-05,4.432e-05,1.5378e-05,3.203e-05
756,1.7125e-05,4.183e-05,1.7209e-05,3.86e-05
758,1.6127e-05,4.166e-05,1.6011e-05,3.942e-05
760,1.4811e-05,3.735e-05,1.6458e-05,4.392e-05
762,1.9574e-05,3.821e-05,1.8731e-05,5.074e-05
764,2.2363e-05,4.141e-05,1.8418e-05,5.417e-05
766,2.949e-05,3.601e-05,1.8273e-05,5.587e-05
768,3.72e-05,4.604e-05,1.6807e-05,6.217e-05
770,3.475e-05,3.686e-05,1.8982e-05,5.634e-05
772,3.869e-05,3.483e-05,1.8281e-05,6.055e-05
774,4.455e-05,4.128e-05,2.166e-05,6.255e-05
776,4.16e-05,3.098e-05,2.07e-05,7.541e-05
778,4.672e-05,3.852e-05,2.0458e-05,7.266e-05
780,4.688e-05,3.073e-05,2.197e-05,8.615e-05
