Wavelength [nm],Background (Mel),Modulation (Mel),Background (LMS),Modulation (LMS)
380,1.0984e-05,1.2368e-05,4.998e-06,2.637e-05
382,9.831e-06,1.1766e-05,5.311e-06,2.573e-05
384,1.022e-05,1.1127e-05,5.091e-06,2.27e-05
386,1.0083e-05,1.1969e-05,5.434e-06,2.258e-05
388,1.1064e-05,1.2223e-05,5.635e-06,2.334e-05
390,1.0744e-05,1.2854e-05,5.384e-06,2.197e-05
392,1.0477e-05,1.1634e-05,5.241e-06,2.0282e-05
394,8.981e-06,1.2007e-05,5.263e-06,2.0462e-05
396,9.278e-06,1.0694e-05,4.602e-06,2.247e-05
398,8.207e-06,1.242e-05,4.569e-06,1.9814e-05
400,8.063e-06,1.1664e-05,4.475e-06,1.7462e-05
402,8.959e-06,1.09e-05,4.26e-06,1.9531e-05
404,8.872e-06,1.0643e-05,4.498e-06,1.9401e-05
406,8.659e-06,1.1271e-05,4.307e-06,1.6708e-05
408,1.0213e-05,1.0527e-05,4.673e-06,1.8094e-05
410,1.0838e-05,1.1236e-05,4.597e-06,1.9756e-05
412,1.11e-05,1.0634e-05,4.401e-06,2.487e-05
414,1.3615e-05,1.1976e-05,5.183e-06,2.915e-05
416,2.849e-05,1.5616e-05,5.746e-06,4.637e-05
418,6.006e-05,2.474e-05,7.411e-06,9.048e-05
420,0.00011727,4.16e-05,1.0105e-05,0.0001673
422,0.00019255,6.288e-05,1.3964e-05,0.0002772
424,0.0002726,8.541e-05,1.9398e-05,0.0004216
426,0.0003485,0.00010695,2.632e-05,0.0006097
428,0.0004133,0.00012647,3.538e-05,0.0008266
430,0.0004656,0.00014248,4.334e-05,0.0010259
432,0.0004955,0.00015192,4.965e-05,0.0011699
434,0.0004859,0.00015076,5.427e-05,0.0012348
436,0.0004215,0.0001344,5.601e-05,0.0012133
438,0.000311,0.00010604,5.459e-05,0.0011179
440,0.00019211,7.548e-05,5.218e-05,0.0009591
442,0.00010704,5.545e-05,4.751e-05,0.000743
444,7.818e-05,5.087e-05,4.392e-05,0.0005333
446,7.284e-05,5.181e-05,4.163e-05,0.0003408
448,7.477e-05,5.618e-05,4.188e-05,0.0002166
450,7.972e-05,6.082e-05,4.54e-05,0.00016759
452,8.202e-05,6.441e-05,4.831e-05,0.00015427
454,8.067e-05,6.575e-05,5.03e-05,0.00014738
456,8.016e-05,6.7e-05,5.235e-05,0.0001476
458,8.36e-05,7.01e-05,5.6e-05,0.00014762
460,8.714e-05,7.495e-05,6.016e-05,0.00015112
462,9.033e-05,7.986e-05,6.459e-05,0.00015201
464,9.532e-05,8.539e-05,6.959e-05,0.00015606
466,0.0001006,9.139e-05,7.601e-05,0.00016075
468,0.0001085,0.00010036,8.514e-05,0.00016932
470,0.00010963,0.00010245,8.827e-05,0.00016957
472,0.00010674,0.00010193,8.94e-05,0.00016337
474,0.00010569,0.00010182,9.04e-05,0.00015872
