Wavelength [nm],Background (Mel),Modulation (Mel),Background (LMS),Modulation (LMS)
380,5.949e-06,1.1883e-05,4.758e-06,2.18e-05
382,5.721e-06,1.1511e-05,5.235e-06,1.8764e-05
384,7.583e-06,1.2258e-05,5.189e-06,1.7367e-05
386,7.303e-06,1.222e-05,5.519e-06,1.8281e-05
388,7.822e-06,1.2012e-05,4.9e-06,1.6104e-05
390,9.159e-06,1.0229e-05,4.591e-06,1.6744e-05
392,9.506e-06,1.0838e-05,4.704e-06,1.6902e-05
394,9.193e-06,1.0941e-05,4.695e-06,1.9598e-05
396,8.987e-06,1.0175e-05,4.909e-06,1.9375e-05
398,7.29e-06,8.812e-06,4.447e-06,1.5929e-05
400,8.134e-06,9.67e-06,4.119e-06,1.6671e-05
402,9.444e-06,9.991e-06,4.279e-06,1.627e-05
404,7.808e-06,9.062e-06,3.9e-06,1.6507e-05
406,7.203e-06,8.756e-06,3.725e-06,1.6356e-05
408,8.286e-06,9.435e-06,3.893e-06,1.7228e-05
410,9.685e-06,9.122e-06,3.883e-06,1.5847e-05
412,1.0331e-05,9.219e-06,3.605e-06,1.7672e-05
414,1.2422e-05,9.815e-06,4.073e-06,2.198e-05
416,2.349e-05,1.3107e-05,4.465e-06,3.528e-05
418,5.199e-05,2.132e-05,5.804e-06,7.605e-05
420,0.00010733,3.716e-05,8.585e-06,0.00014812
422,0.00018139,5.766e-05,1.2534e-05,0.0002527
424,0.0002591,7.877e-05,1.7649e-05,0.0003916
426,0.0003343,0.00010003,2.446e-05,0.0005765
428,0.0003987,0.00011961,3.224e-05,0.000792
430,0.0004508,0.00013561,3.952e-05,0.0009891
432,0.0004818,0.000145,4.605e-05,0.0011358
434,0.0004742,0.00014497,5.025e-05,0.0012035
436,0.0004111,0.00012875,5.182e-05,0.0011811
438,0.0003028,0.00010115,5.042e-05,0.0010864
440,0.00017975,7.052e-05,4.769e-05,0.0009281
442,9.096e-05,4.912e-05,4.346e-05,0.0007139
444,6.167e-05,4.397e-05,3.979e-05,0.0005006
446,5.499e-05,4.382e-05,3.756e-05,0.0003085
448,5.685e-05,4.679e-05,3.817e-05,0.0001803
450,6.183e-05,5.067e-05,4.065e-05,0.0001254
452,6.42e-05,5.338e-05,4.342e-05,0.00010958
454,6.394e-05,5.416e-05,4.483e-05,0.0001041
456,6.519e-05,5.5e-05,4.652e-05,0.00010268
458,6.735e-05,5.805e-05,5.012e-05,0.000106
460,7.024e-05,6.252e-05,5.373e-05,0.00010805
462,7.426e-05,6.614e-05,5.758e-05,0.00011102
464,7.914e-05,7.023e-05,6.19e-05,0.00011367
466,8.28e-05,7.587e-05,6.697e-05,0.00012047
468,9.04e-05,8.316e-05,7.44e-05,0.00012678
470,9.078e-05,8.543e-05,7.782e-05,0.00012867
472,9.106e-05,8.572e-05,7.898e-05,0.00012625
474,9.045e-05,8.629e-05,8.028e-05,0.0001243
476,8.692e-05,8.457e-05,7.932e-05,0.00011856
478,8.604e-05,8.433e-05,8.03e-05,0.00011487
480,8.876e-05,8.917e-05,8.623e-05,0.00011699
482,9.448e-05,9.753e-05,9.462e-05,0.00012265
