Wavelength [nm],Background (Mel),Modulation (Mel),Background (LMS),Modulation (LMS)
380,8.457e-06,1.3241e-05,4.134e-06,2.322e-05
382,7.826e-06,1.2263e-05,3.997e-06,2.382e-05
384,7.872e-06,1.2645e-05,3.502e-06,2.308e-05
386,7.755e-06,1.3276e-05,3.848e-06,1.9478e-05
388,8.051e-06,1.2855e-05,3.077e-06,1.9071e-05
390,8.075e-06,1.2047e-05,3.338e-06,2.0472e-05
392,8.336e-06,1.0353e-05,4.138e-06,1.8071e-05
394,7.64e-06,1.1751e-05,3.483e-06,1.7539e-05
396,8.177e-06,1.1973e-05,3.028e-06,1.5444e-05
398,8.926e-06,1.0507e-05,3.565e-06,1.7827e-05
400,6.774e-06,1.1749e-05,3.056e-06,1.6055e-05
402,7.452e-06,1.0264e-05,3.209e-06,1.4645e-05
404,8.18e-06,1.0149e-05,3.234e-06,1.5304e-05
406,8.725e-06,1.0296e-05,3.034e-06,1.5235e-05
408,7.302e-06,9.728e-06,2.926e-06,1.3901e-05
410,8.868e-06,1.0323e-05,3.344e-06,1.505e-05
412,1.0322e-05,1.1374e-05,2.839e-06,1.8812e-05
414,1.7499e-05,1.322e-05,2.998e-06,3.016e-05
416,4.102e-05,1.7649e-05,3.54e-06,6.021e-05
418,8.636e-05,2.996e-05,4.443e-06,0.00012201
420,0.00015983,4.837e-05,5.223e-06,0.0002236
422,0.0002455,6.987e-05,7.439e-06,0.0003635
424,0.0003317,9.131e-05,9.576e-06,0.0005408
426,0.0004116,0.00011244,1.2726e-05,0.0007655
428,0.000483,0.00013329,1.5713e-05,0.001007
430,0.0005337,0.00014742,1.9472e-05,0.0012101
432,0.0005408,0.00015088,2.296e-05,0.0013268
434,0.0004807,0.00013784,2.56e-05,0.0013286
436,0.0003576,0.00010912,2.756e-05,0.0012309
438,0.0002184,7.559e-05,2.939e-05,0.0010661
440,0.00011071,5.253e-05,3.087e-05,0.0008507
442,6.321e-05,4.412e-05,3.232e-05,0.0005847
444,5.46e-05,4.436e-05,3.422e-05,0.0003569
446,5.472e-05,4.712e-05,3.658e-05,0.00019842
448,5.806e-05,5.148e-05,4.022e-05,0.00013019
450,6.351e-05,5.573e-05,4.492e-05,0.00011383
452,6.695e-05,5.988e-05,4.843e-05,0.00011179
454,6.662e-05,6.092e-05,5.046e-05,0.00011222
456,6.82e-05,6.45e-05,5.363e-05,0.00011329
458,7.229e-05,6.824e-05,5.785e-05,0.00011602
460,7.638e-05,7.189e-05,6.238e-05,0.0001194
462,8.078e-05,7.709e-05,6.661e-05,0.00012312
464,8.488e-05,8.348e-05,7.118e-05,0.00012592
466,9.007e-05,8.918e-05,7.661e-05,0.00013175
468,9.643e-05,9.715e-05,8.346e-05,0.00014049
470,9.703e-05,0.0001009,8.715e-05,0.00014225
472,9.723e-05,0.00010219,8.935e-05,0.00014013
474,9.647e-05,0.00010264,8.993e-05,0.00013799
476,9.412e-05,0.00010051,8.883e-05,0.00013239
478,9.268e-05,9.914e-05,8.907e-05,0.00012949
480,9.529e-05,0.00010288,9.35e-05,0.00012891
482,0.00010014,0.00010893,0.00010109,0.00013563
484,0.00010203,0.00011291,0.00010664,0.0001352
486,0.00010249,0.00011997,0.00011362,0.00013463
488,0.0001032,0.00014915,0.00014214,0.00013784
490,0.00010706,0.0002454,0.0002328,0.00015217
492,0.00011349,0.0004537,0.0004191,0.00017902
494,0.00011848,0.0008348,0.0007076,0.0002153
496,0.00012336,0.0013666,0.0009858,0.0002508
498,0.00013064,0.0020736,0.0012264,0.0002912
500,0.00014523,0.002893,0.001429,0.0003307
502,0.00015985,0.003668,0.0015841,0.0003656
504,0.0001703,0.004246,0.0016785,0.0003866
506,0.00017737,0.004539,0.0016657,0.0003851
508,0.00018117,0.0045,0.001486,0.0003643
510,0.00018239,0.004209,0.0011835,0.0003328
512,0.00018023,0.003669,0.0008516,0.0003007
514,0.00017251,0.002835,0.0005824,0.0002671
516,0.00016063,0.0018226,0.0003913,0.0002347
518,0.00015271,0.0009113,0.0002608,0.0002117
520,0.00015096,0.0004624,0.0002045,0.0002048
522,0.00015252,0.0003303,0.00018778,0.0002061
524,0.00015596,0.0002992,0.00018267,0.0002113
526,0.00015959,0.0002903,0.0001806,0.0002162
528,0.00016332,0.0002828,0.0001777,0.0002211
530,0.0001685,0.0002729,0.00017524,0.0002269
532,0.00017283,0.0002639,0.00017444,0.0002326
534,0.0001771,0.0002561,0.00017346,0.0002384
536,0.00018285,0.0002517,0.00017349,0.000244
538,0.00018805,0.0002487,0.00017424,0.0002507
540,0.0001924,0.0002475,0.00017561,0.000256
542,0.00019986,0.0002473,0.00017706,0.0002619
544,0.0002051,0.0002473,0.00017884,0.0002661
546,0.0002093,0.0002467,0.00018015,0.0002696
548,0.0002135,0.0002465,0.0001818,0.000271
550,0.0002167,0.000246,0.00018372,0.0002728
552,0.0002185,0.0002453,0.00018526,0.0002762
554,0.000219,0.0002453,0.00018663,0.0002838
556,0.0002168,0.0002449,0.00018719,0.0003073
558,0.0002138,0.0002439,0.00018809,0.0004019
560,0.0002096,0.0002448,0.00018888,0.0007027
562,0.0002062,0.0002445,0.0001891,0.0013825
564,0.000204,0.0002436,0.00018926,0.002612
566,0.0002166,0.0002443,0.00018967,0.004046
568,0.0002613,0.0002453,0.00018943,0.005564
570,0.0004065,0.000246,0.00018943,0.007111
572,0.0007953,0.000251,0.00018995,0.008626
574,0.001627,0.0002608,0.00019064,0.010107
576,0.002889,0.0002791,0.00019368,0.011364
578,0.004235,0.0003056,0.00020085,0.01217
580,0.005624,0.0003487,0.0002158,0.012651
582,0.006962,0.0004314,0.0002433,0.012883
584,0.008178,0.0006078,0.0002926,0.012937
586,0.009262,0.0009779,0.0003887,0.012823
588,0.009879,0.001397,0.0005154,0.012634
590,0.009997,0.0017564,0.0006768,0.012351
592,0.009467,0.0019723,0.0008791,0.011994
594,0.00829,0.002054,0.0011221,0.011584
596,0.006512,0.002032,0.0014282,0.011061
598,0.004861,0.0019289,0.0017381,0.010573
600,0.003468,0.0017161,0.002051,0.010094
602,0.002334,0.0013807,0.002359,0.009618
604,0.0014292,0.0010369,0.002652,0.009134
606,0.0007618,0.0009689,0.002916,0.008536
608,0.0004699,0.0014497,0.003057,0.007807
610,0.0003788,0.002347,0.003061,0.006922
612,0.0003453,0.003461,0.002917,0.005922
614,0.0003299,0.004648,0.002625,0.004884
616,0.0003244,0.005909,0.002164,0.003765
618,0.0003385,0.007041,0.0016451,0.002743
620,0.000375,0.007992,0.0011473,0.001882
622,0.000436,0.008767,0.0007528,0.0012128
624,0.000525,0.00928,0.0006057,0.0008924
626,0.000658,0.009518,0.0007968,0.001016
628,0.000817,0.009467,0.0012089,0.0014331
630,0.0009873,0.009229,0.0016814,0.0019311
632,0.0011729,0.008867,0.002172,0.002456
634,0.0013664,0.008442,0.002664,0.002984
636,0.001573,0.007947,0.003182,0.003537
638,0.001757,0.007503,0.003617,0.003989
640,0.0019281,0.007115,0.003951,0.004285
642,0.002085,0.006758,0.004155,0.00438
644,0.002236,0.006436,0.004225,0.004317
646,0.002399,0.006101,0.004137,0.004121
648,0.002529,0.005834,0.003902,0.003823
650,0.002631,0.005568,0.00351,0.0034
652,0.0027,0.005275,0.00299,0.002893
654,0.002746,0.00498,0.002401,0.002345
656,0.002792,0.004695,0.0017704,0.0017635
658,0.002829,0.004487,0.0012685,0.0012916
