Wavelength [nm],Background nominal [29 yrs],Modulation nominal [400% 29 yrs],Background validated [32 yrs],Modulation validated [400% 32 yrs]
742,5.5833e-05,8.625e-05,3.2048e-05,6.7883e-05
744,4.9705e-05,8.2558e-05,3.0509e-05,6.6081e-05
746,5.4501e-05,9.2118e-05,3.1455e-05,5.7596e-05
748,4.3014e-05,6.8585e-05,3.0216e-05,5.6469e-05
750,4.2084e-05,6.3195e-05,3.2222e-05,5.9148e-05
752,3.4999e-05,8.0961e-05,3.4338e-05,5.3497e-05
754,2.8516e-05,5.7299e-05,3.2592e-05,5.306e-05
756,3.1724e-05,6.4034e-05,3.4733e-05,4.9458e-05
758,2.9499e-05,5.481e-05,3.604e-05,5.0488e-05
760,2.9719e-05,5.3563e-05,3.7274e-05,5.5996e-05
762,4.4704e-05,6.6213e-05,3.9037e-05,6.6537e-05
764,4.7479e-05,8.7498e-05,4.2889e-05,6.1824e-05
766,4.1918e-05,6.2344e-05,4.388e-05,6.632e-05
768,2.9838e-05,7.3865e-05,4.3155e-05,6.782e-05
770,4.6798e-05,0.0001028,4.1518e-05,7.1019e-05
772,4.3473e-05,0.00012243,4.3295e-05,8.6496e-05
774,3.8142e-05,0.00011119,4.1782e-05,9.1688e-05
776,4.8732e-05,0.00012847,4.6247e-05,0.00010805
778,5.5142e-05,0.00012798,4.8631e-05,0.00014128
780,6.2903e-05,0.00014905,4.5625e-05,0.00014627
