Wavelength [nm],Background nominal [29 yrs],Modulation nominal [25% 29 yrs],Modulation nominal [50% 29 yrs],Modulation nominal [100% 29 yrs],Modulation nominal [200% 29 yrs],Modulation nominal [400% 29 yrs],Background validated [32 yrs],Modulation validated [25% 32 yrs],Modulation validated [50% 32 yrs],Modulation validated [100% 32 yrs],Modulation validated [200% 32 yrs],Modulation validated [400% 32 yrs]
380,9.7426e-06,9.7335e-06,9.7244e-06,9.7063e-06,9.67e-06,9.5974e-06,1.2153e-05,1.3965e-05,1.4835e-05,1.2956e-05,1.6389e-05,1.7696e-05
382,8.3733e-06,8.4553e-06,8.5373e-06,8.7014e-06,9.0295e-06,9.6856e-06,1.0392e-05,1.3771e-05,1.462e-05,1.2442e-05,1.6014e-05,1.6809e-05
384,9.1215e-06,9.4464e-06,9.7713e-06,1.0421e-05,1.1721e-05,1.432e-05,9.3036e-06,1.3651e-05,1.4884e-05,1.2089e-05,1.4801e-05,1.7352e-05
386,1.0759e-05,1.0953e-05,1.1147e-05,1.1535e-05,1.2312e-05,1.3865e-05,7.9076e-06,1.351e-05,1.325e-05,1.1409e-05,1.4789e-05,1.7636e-05
388,1.3822e-05,1.3742e-05,1.3662e-05,1.3502e-05,1.3182e-05,1.2542e-05,8.3065e-06,1.2623e-05,1.3627e-05,1.1466e-05,1.5046e-05,1.7284e-05
390,1.3014e-05,1.2983e-05,1.2953e-05,1.2891e-05,1.2769e-05,1.2523e-05,9.5427e-06,1.1731e-05,1.4253e-05,1.1236e-05,1.5201e-05,1.7355e-05
392,1.1901e-05,1.2064e-05,1.2227e-05,1.2554e-05,1.3206e-05,1.451e-05,9.5842e-06,1.2079e-05,1.4457e-05,1.0669e-05,1.4559e-05,1.693e-05
394,1.2485e-05,1.2315e-05,1.2145e-05,1.1806e-05,1.1127e-05,9.7687e-06,9.4816e-06,1.1171e-05,1.493e-05,9.966e-06,1.4763e-05,1.7381e-05
396,8.1161e-06,8.3053e-06,8.4945e-06,8.8729e-06,9.6297e-06,1.1143e-05,9.7507e-06,1.2085e-05,1.3496e-05,1.1133e-05,1.3673e-05,1.8498e-05
398,1.0422e-05,1.0649e-05,1.0877e-05,1.1333e-05,1.2244e-05,1.4066e-05,9.5862e-06,1.1283e-05,1.141e-05,1.1028e-05,1.4136e-05,1.7881e-05
400,1.0531e-05,1.0768e-05,1.1004e-05,1.1477e-05,1.2422e-05,1.4312e-05,1.0886e-05,1.0972e-05,1.1616e-05,1.151e-05,1.351e-05,1.8185e-05
402,1.1382e-05,1.1493e-05,1.1605e-05,1.1828e-05,1.2275e-05,1.3168e-05,1.0893e-05,1.1099e-05,1.3661e-05,1.191e-05,1.4309e-05,1.7196e-05
404,1.1282e-05,1.1524e-05,1.1766e-05,1.2249e-05,1.3217e-05,1.5153e-05,1.141e-05,1.2783e-05,1.3123e-05,1.2536e-05,1.4461e-05,1.7228e-05
406,1.5098e-05,1.5228e-05,1.5359e-05,1.5621e-05,1.6144e-05,1.7191e-05,1.423e-05,1.4613e-05,1.4635e-05,1.4275e-05,1.5281e-05,1.8275e-05
408,2.3375e-05,2.3361e-05,2.3347e-05,2.3318e-05,2.3261e-05,2.3147e-05,1.9377e-05,2.0181e-05,1.9777e-05,1.9716e-05,1.8956e-05,2.0113e-05
410,4.394e-05,4.3241e-05,4.2542e-05,4.1145e-05,3.835e-05,3.2759e-05,3.5311e-05,3.358e-05,3.2553e-05,3.1873e-05,2.9242e-05,2.5525e-05
412,9.5674e-05,9.296e-05,9.0246e-05,8.4818e-05,7.3963e-05,5.2253e-05,7.0798e-05,6.7587e-05,6.6267e-05,6.1305e-05,5.3451e-05,3.8876e-05
414,0.00017192,0.00016632,0.00016073,0.00014953,0.00012715,8.2383e-05,0.00012809,0.00012312,0.00011887,0.00010981,9.3482e-05,6.2131e-05
416,0.00027676,0.00026697,0.00025719,0.00023762,0.00019847,0.00012019,0.00021412,0.00020442,0.00019626,0.00018037,0.00014913,9.0107e-05
418,0.00041769,0.00040199,0.0003863,0.00035491,0.00029213,0.00016656,0.00032982,0.00031467,0.00030111,0.00027444,0.00022276,0.0001248
420,0.00058732,0.00056414,0.00054095,0.00049458,0.00040184,0.00021636,0.00046805,0.00044645,0.00042602,0.00038673,0.00030876,0.00016262
422,0.00076004,0.00072891,0.00069777,0.00063549,0.00051094,0.00026183,0.0006076,0.00057978,0.00055325,0.00050142,0.00039578,0.00019769
424,0.00090982,0.00087156,0.00083331,0.0007568,0.00060378,0.00029774,0.00072882,0.00069653,0.00066367,0.00060125,0.00047267,0.00022675
426,0.0010151,0.00097138,0.00092769,0.00084029,0.0006655,0.00031593,0.00081509,0.00077796,0.00074231,0.00067138,0.00052496,0.00024471
428,0.0010456,0.0009999,0.00095416,0.00086267,0.00067969,0.00031374,0.0008426,0.00080371,0.00076502,0.00069255,0.00053651,0.00024042
430,0.0010006,0.00095575,0.00091088,0.00082114,0.00064166,0.00028271,0.00081038,0.00077322,0.0007356,0.00066307,0.00051011,0.00021653
432,0.00089678,0.00085535,0.00081393,0.00073107,0.00056536,0.00023394,0.00072516,0.00069062,0.00065715,0.00059095,0.00045096,0.00017944
