Wavelength [nm],Background nominal [29 yrs],Modulation nominal [x0.25 29 yrs],Modulation nominal [x0.50 29 yrs],Modulation nominal [x1.00 29 yrs],Modulation nominal [x2.00 29 yrs],Background validated [32 yrs],Modulation validated [x0.25 32 yrs],Modulation validated [x0.50 32 yrs],Modulation validated [x1.00 32 yrs],Modulation validated [x2.00 32 yrs]
634,0.0096378,0.0097029,0.0097681,0.0098985,0.010159,0.0085672,0.0086232,0.0086848,0.008805,0.0090456
636,0.0094273,0.0094857,0.009544,0.0096606,0.0098939,0.008368,0.0084182,0.0084728,0.0085798,0.0087942
638,0.0091879,0.00924,0.0092921,0.0093963,0.0096048,0.0081934,0.0082368,0.0082866,0.008382,0.0085748
640,0.0090055,0.0090524,0.0090993,0.0091932,0.0093809,0.0080544,0.0080922,0.0081368,0.0082238,0.0083968
642,0.0088372,0.0088794,0.0089216,0.009006,0.0091747,0.007932,0.0079676,0.0080074,0.0080844,0.0082402
644,0.0087601,0.0087983,0.0088364,0.0089128,0.0090656,0.0078482,0.007878,0.0079136,0.0079836,0.008124
646,0.008738,0.0087725,0.008807,0.0088759,0.0090138,0.007779,0.0078056,0.0078368,0.0078992,0.008024
648,0.008649,0.0086801,0.0087112,0.0087735,0.0088979,0.0077232,0.007747,0.0077738,0.0078318,0.0079436
650,0.0084513,0.0084789,0.0085065,0.0085616,0.0086718,0.007619,0.0076404,0.0076642,0.0077148,0.0078134
652,0.0081585,0.0081825,0.0082065,0.0082545,0.0083505,0.0074344,0.0074538,0.0074736,0.0075164,0.0076042
654,0.0078459,0.0078665,0.0078871,0.0079283,0.0080106,0.0072298,0.0072442,0.0072638,0.0073014,0.0073758
656,0.0076298,0.0076475,0.0076652,0.0077006,0.0077713,0.007044,0.0070554,0.007071,0.0071048,0.0071666
658,0.0074992,0.0075148,0.0075304,0.0075616,0.007624,0.006913,0.0069236,0.0069368,0.0069674,0.0070216
660,0.0073768,0.0073905,0.0074042,0.0074315,0.0074862,0.0068068,0.0068144,0.0068264,0.0068534,0.0069016
662,0.007306,0.007318,0.00733,0.0073541,0.0074022,0.0067144,0.006722,0.0067342,0.0067574,0.0067994
664,0.0072351,0.0072456,0.0072561,0.0072771,0.007319,0.0066226,0.006629,0.0066376,0.0066586,0.0066958
666,0.0071453,0.0071545,0.0071636,0.0071818,0.0072182,0.0065258,0.0065292,0.0065384,0.0065562,0.0065888
668,0.0070875,0.0070956,0.0071036,0.0071197,0.0071519,0.0064252,0.0064278,0.0064356,0.0064514,0.00648
670,0.0069789,0.006986,0.0069932,0.0070075,0.0070361,0.0063042,0.0063056,0.0063144,0.0063274,0.0063532
672,0.0067538,0.0067601,0.0067664,0.006779,0.0068043,0.0061418,0.0061444,0.0061508,0.0061628,0.0061828
674,0.0063496,0.0063552,0.0063607,0.0063717,0.0063937,0.0058326,0.0058336,0.0058398,0.0058522,0.0058694
676,0.00577,0.0057748,0.0057797,0.0057893,0.0058087,0.005363,0.0053642,0.0053686,0.0053816,0.005396
678,0.0050835,0.0050877,0.0050919,0.0051004,0.0051173,0.0047718,0.0047734,0.0047762,0.0047884,0.0048034
680,0.0043532,0.0043569,0.0043606,0.004368,0.0043829,0.0041274,0.0041284,0.0041312,0.0041408,0.0041538
682,0.0035906,0.0035939,0.0035972,0.0036038,0.003617,0.0034716,0.0034718,0.0034754,0.003483,0.0034952
684,0.0027885,0.0027914,0.0027942,0.0027999,0.0028113,0.0027214,0.0027212,0.0027254,0.002733,0.0027438
686,0.0020476,0.0020501,0.0020526,0.0020577,0.0020677,0.0019994,0.0019998,0.0020025,0.0020102,0.0020197
688,0.001307,0.0013092,0.0013114,0.0013158,0.0013246,0.0013298,0.0013295,0.0013314,0.00134,0.0013465
690,0.00072968,0.00073158,0.00073348,0.00073729,0.0007449,0.00079358,0.0007918,0.00079298,0.00080018,0.00080656
692,0.0004063,0.00040793,0.00040956,0.00041283,0.00041935,0.0004335,0.0004318,0.0004333,0.00043806,0.0004436
694,0.00029929,0.00030075,0.00030221,0.00030512,0.00031094,0.0002913,0.00029228,0.00029032,0.0002946,0.00030002
696,0.00026075,0.00026203,0.00026331,0.00026587,0.000271,0.00024212,0.00024146,0.00024094,0.00024464,0.00024932
698,0.00023805,0.00023924,0.00024044,0.00024284,0.00024763,0.0002194,0.00021846,0.00021916,0.0002238,0.0002274
700,0.00022729,0.00022842,0.00022955,0.00023181,0.00023633,0.00020583,0.00020567,0.00020518,0.0002099,0.00021218
702,0.00021515,0.00021619,0.00021723,0.00021932,0.00022348,0.00019524,0.00019475,0.00019561,0.00019753,0.0002011
704,0.00020413,0.00020509,0.00020606,0.00020798,0.00021182,0.00018604,0.00018674,0.00018661,0.00018815,0.00019403
706,0.00019843,0.00019939,0.00020036,0.00020229,0.00020615,0.0001796,0.00017886,0.0001784,0.00018023,0.00018595
708,0.00019299,0.00019393,0.00019488,0.00019677,0.00020056,0.0001722,0.00017347,0.00017326,0.00017623,0.00018001
710,0.00017966,0.00018051,0.00018136,0.00018306,0.00018646,0.00016319,0.00016477,0.00016719,0.00016544,0.00017095
712,0.0001709,0.00017169,0.00017248,0.00017407,0.00017723,0.00015279,0.00015583,0.0001569,0.00015517,0.00016195
714,0.00015439,0.00015511,0.00015582,0.00015725,0.0001601,0.00014291,0.00014272,0.00014589,0.00014297,0.00014954
716,0.00014682,0.00014753,0.00014825,0.00014968,0.00015254,0.00012861,0.00013169,0.0001318,0.00012872,0.00013709
718,0.00013135,0.00013203,0.00013271,0.00013407,0.00013679,0.00011301,0.00011879,0.00011813,0.0001159,0.00012235
720,0.00011655,0.0001172,0.00011785,0.00011916,0.00012176,0.00010195,0.00010187,0.00010413,0.00010277,0.00010743
722,0.00010341,0.00010403,0.00010464,0.00010587,0.00010832,9.2096e-05,9.1758e-05,9.5244e-05,9.1724e-05,9.8582e-05
724,9.9056e-05,9.9667e-05,0.00010028,0.0001015,0.00010394,8.3384e-05,8.5034e-05,8.6628e-05,8.3518e-05,9.1514e-05
726,8.9167e-05,8.9677e-05,9.0186e-05,9.1206e-05,9.3245e-05,7.6662e-05,7.9854e-05,8.5122e-05,7.766e-05,8.301e-05
728,8.3837e-05,8.4327e-05,8.4817e-05,8.5798e-05,8.7758e-05,7.3178e-05,7.6858e-05,8.0118e-05,7.5268e-05,8.2096e-05
