Wavelength [nm],Background nominal [29 yrs],Modulation nominal [25% 29 yrs],Modulation nominal [50% 29 yrs],Modulation nominal [100% 29 yrs],Modulation nominal [200% 29 yrs],Modulation nominal [400% 29 yrs],Background validated [32 yrs],Modulation validated [25% 32 yrs],Modulation validated [50% 32 yrs],Modulation validated [100% 32 yrs],Modulation validated [200% 32 yrs],Modulation validated [400% 32 yrs]
468,0.00014681,0.00014833,0.00014984,0.00015287,0.00015894,0.00017106,0.00015047,0.00015208,0.0001557,0.00015902,0.00016553,0.00017748
470,0.00013848,0.00014163,0.00014479,0.0001511,0.00016372,0.00018896,0.00013979,0.00014409,0.00015055,0.00015575,0.00016953,0.00019513
472,0.00012786,0.00013262,0.00013738,0.0001469,0.00016594,0.00020402,0.00012773,0.00013336,0.00014049,0.00015068,0.00017043,0.00020939
474,0.00011596,0.00012226,0.00012855,0.00014115,0.00016633,0.0002167,0.00011702,0.00012325,0.00013195,0.00014442,0.00016982,0.00021936
476,0.00010297,0.00011064,0.00011831,0.00013365,0.00016434,0.00022571,0.00010488,0.00011269,0.00012199,0.00013569,0.00016497,0.00022116
478,9.9907e-05,0.00010818,0.00011646,0.00013301,0.00016612,0.00023233,9.9778e-05,0.00010785,0.00011748,0.00013319,0.00016546,0.0002274
480,0.00010204,0.00011129,0.00012054,0.00013903,0.00017603,0.00025001,0.00010216,0.00011176,0.00012156,0.0001404,0.00017477,0.00024466
482,0.00010624,0.00011662,0.00012699,0.00014774,0.00018924,0.00027223,0.00010693,0.00011707,0.00012705,0.00014818,0.00018721,0.00026512
484,0.00010894,0.00012071,0.00013249,0.00015604,0.00020315,0.00029737,0.00010748,0.00011884,0.00013051,0.0001527,0.00019494,0.00028046
486,0.00011081,0.0001257,0.00014059,0.00017037,0.00022992,0.00034903,0.00010605,0.00012126,0.00013553,0.00016244,0.00021238,0.00031818
488,0.00011127,0.00013662,0.00016197,0.00021267,0.00031406,0.00051685,0.00010703,0.000134,0.00015837,0.00020312,0.00028408,0.00046516
490,0.00011587,0.00016937,0.00022286,0.00032985,0.00054383,0.00097179,0.00011126,0.00016566,0.0002177,0.00030984,0.0004836,0.00087396
492,0.00012471,0.00022785,0.00033099,0.00053727,0.00094984,0.001775,0.00012268,0.00022292,0.00032088,0.00050128,0.00085856,0.0016356
494,0.00014265,0.00031447,0.00048629,0.00082992,0.0015172,0.0028917,0.00014302,0.00031192,0.00047236,0.0007825,0.0014076,0.0027312
496,0.00018071,0.00042374,0.00066677,0.0011528,0.0021249,0.0040692,0.00017974,0.00041758,0.00064432,0.0010894,0.0019867,0.003863
498,0.00024408,0.00056433,0.00088457,0.0015251,0.002806,0.005368,0.00023874,0.00054522,0.0008425,0.001429,0.0026102,0.0050412
500,0.00032003,0.00071627,0.0011125,0.001905,0.00349,0.0066599,0.00031336,0.00068532,0.001052,0.001779,0.003249,0.0061866
502,0.00039274,0.00085054,0.0013083,0.0022239,0.0040551,0.0077175,0.00038062,0.00080384,0.001226,0.0020724,0.0037862,0.0071126
504,0.00044548,0.00094201,0.0014385,0.0024316,0.0044177,0.00839,0.00042512,0.00087314,0.0013235,0.0022418,0.0041092,0.0076568
506,0.00048048,0.00098595,0.0014914,0.0025023,0.0045242,0.0085679,0.00044722,0.00088628,0.0013316,0.002246,0.0041306,0.0076738
