Wavelength [nm],Background nominal [28 yrs],Modulation nominal [25% 28 yrs],Modulation nominal [50% 28 yrs],Modulation nominal [100% 28 yrs],Modulation nominal [200% 28 yrs],Modulation nominal [400% 28 yrs],Background validated [32 yrs],Modulation validated [25% 32 yrs],Modulation validated [50% 32 yrs],Modulation validated [100% 32 yrs],Modulation validated [200% 32 yrs],Modulation validated [400% 32 yrs]
726,8.8139e-05,8.8311e-05,8.8482e-05,8.8825e-05,8.9511e-05,9.0882e-05,9.0036e-05,8.2652e-05,8.244e-05,7.8142e-05,8.9496e-05,9.438e-05
728,8.7343e-05,8.7523e-05,8.7702e-05,8.806e-05,8.8778e-05,9.0212e-05,8.0286e-05,7.2606e-05,7.0792e-05,7.3112e-05,8.2478e-05,8.7024e-05
730,7.8904e-05,7.9475e-05,8.0047e-05,8.119e-05,8.3476e-05,8.8048e-05,7.1468e-05,6.6646e-05,6.7358e-05,6.9958e-05,7.9336e-05,8.5006e-05
732,7.5989e-05,7.6957e-05,7.7926e-05,7.9862e-05,8.3736e-05,9.1483e-05,6.3716e-05,5.8198e-05,6.3656e-05,6.6286e-05,7.6216e-05,8.1756e-05
734,6.5007e-05,6.625e-05,6.7492e-05,6.9978e-05,7.4949e-05,8.4892e-05,6.0608e-05,5.3746e-05,5.7456e-05,6.2928e-05,7.2554e-05,7.731e-05
736,6.5787e-05,6.7615e-05,6.9443e-05,7.3098e-05,8.041e-05,9.5033e-05,5.9468e-05,4.938e-05,5.5094e-05,5.7902e-05,6.8868e-05,7.7016e-05
738,5.4127e-05,5.6547e-05,5.8968e-05,6.3808e-05,7.3489e-05,9.2851e-05,5.2418e-05,4.3938e-05,5.3216e-05,5.0298e-05,6.7382e-05,7.6916e-05
740,5.6196e-05,5.8445e-05,6.0694e-05,6.5191e-05,7.4186e-05,9.2175e-05,4.3664e-05,4.243e-05,5.2232e-05,5.0552e-05,6.5654e-05,7.7578e-05
742,5.254e-05,5.5262e-05,5.7985e-05,6.343e-05,7.4321e-05,9.6103e-05,3.2273e-05,3.657e-05,4.5594e-05,4.6248e-05,6.3844e-05,7.7556e-05
744,5.5772e-05,5.7951e-05,6.013e-05,6.4489e-05,7.3206e-05,9.0639e-05,3.1028e-05,3.1777e-05,4.657e-05,4.6013e-05,6.2812e-05,8.065e-05
746,3.257e-05,3.5673e-05,3.8777e-05,4.4984e-05,5.7399e-05,8.2228e-05,2.7893e-05,2.8177e-05,4.4388e-05,4.5352e-05,6.1e-05,8.3414e-05
748,2.8896e-05,3.2473e-05,3.605e-05,4.3205e-05,5.7514e-05,8.6131e-05,2.5436e-05,2.8106e-05,4.333e-05,4.3371e-05,6.0374e-05,8.4848e-05
750,3.3621e-05,3.7332e-05,4.1043e-05,4.8465e-05,6.331e-05,9.2998e-05,1.8644e-05,2.69e-05,4.4418e-05,4.2573e-05,6.3098e-05,8.4946e-05
752,2.6107e-05,3.0178e-05,3.4249e-05,4.2392e-05,5.8677e-05,9.1248e-05,1.6824e-05,2.8284e-05,4.3858e-05,4.232e-05,6.264e-05,8.765e-05
754,3.0872e-05,3.5016e-05,3.9161e-05,4.7449e-05,6.4027e-05,9.7183e-05,1.4907e-05,2.773e-05,4.2448e-05,4.0447e-05,6.4728e-05,8.6124e-05
756,2.8641e-05,3.2734e-05,3.6828e-05,4.5015e-05,6.139e-05,9.4139e-05,1.5343e-05,2.6057e-05,4.21e-05,4.1548e-05,6.4476e-05,9.1416e-05
758,3.2036e-05,3.6916e-05,4.1795e-05,5.1554e-05,7.1072e-05,0.00011011,1.617e-05,2.694e-05,4.3673e-05,4.1168e-05,6.1846e-05,9.1046e-05
760,3.6539e-05,4.1867e-05,4.7195e-05,5.7851e-05,7.9164e-05,0.00012179,1.705e-05,2.3319e-05,4.3528e-05,4.551e-05,6.1734e-05,9.5886e-05
762,3.9623e-05,4.5098e-05,5.0574e-05,6.1526e-05,8.3429e-05,0.00012724,2.0635e-05,3.6113e-05,4.857e-05,4.95e-05,6.4632e-05,0.00010233
764,4.538e-05,5.0178e-05,5.4976e-05,6.4571e-05,8.3762e-05,0.00012214,2.6076e-05,3.7659e-05,5.0703e-05,4.5962e-05,6.8782e-05,0.00010163
766,4.8065e-05,5.4249e-05,6.0434e-05,7.2803e-05,9.7541e-05,0.00014702,2.7361e-05,3.7492e-05,4.9844e-05,4.6052e-05,7.0984e-05,0.00010258
768,4.4273e-05,5.0894e-05,5.7516e-05,7.0758e-05,9.7243e-05,0.00015021,2.8873e-05,5.138e-05,5.195e-05,4.8346e-05,7.2136e-05,0.00010932
770,4.3293e-05,4.8567e-05,5.384e-05,6.4388e-05,8.5483e-05,0.00012767,2.8398e-05,5.6977e-05,5.49e-05,5.3828e-05,7.309e-05,0.00010102
772,6.1989e-05,6.7456e-05,7.2922e-05,8.3856e-05,0.00010572,0.00014945,3.4989e-05,6.389e-05,5.745e-05,6.3246e-05,7.6104e-05,0.00011026
774,6.8196e-05,7.2911e-05,7.7626e-05,8.7057e-05,0.00010592,0.00014364,4.6054e-05,6.9876e-05,6.5832e-05,7.261e-05,7.8586e-05,0.00010942
776,5.4761e-05,5.9972e-05,6.5184e-05,7.5606e-05,9.645e-05,0.00013814,5.6562e-05,7.297e-05,7.325e-05,7.6056e-05,8.1636e-05,0.00012263
778,7.3395e-05,7.7814e-05,8.2232e-05,9.107e-05,0.00010875,0.0001441,5.7136e-05,8.7204e-05,6.2655e-05,8.1498e-05,9.241e-05,0.00012452
780,5.1012e-05,5.6576e-05,6.214e-05,7.3268e-05,9.5524e-05,0.00014003,5.7659e-05,9.7254e-05,7.3706e-05,9.3672e-05,9.3438e-05,0.00012687
