Wavelength [nm],Background nominal [44 yrs],Modulation nominal [x0.25 44 yrs],Modulation nominal [x0.50 44 yrs],Modulation nominal [x1.00 44 yrs],Modulation nominal [x2.00 44 yrs],Background validated [32 yrs],Modulation validated [x0.25 32 yrs],Modulation validated [x0.50 32 yrs],Modulation validated [x1.00 32 yrs],Modulation validated [x2.00 32 yrs]
570,0.00099635,0.00097218,0.00094801,0.00089967,0.00080299,0.00068712,0.00066224,0.0006348,0.00058144,0.00046964
572,0.0016609,0.0016456,0.0016303,0.0015998,0.0015387,0.0010439,0.0010243,0.0010021,0.00095744,0.00086672
574,0.0027327,0.0027323,0.0027318,0.0027309,0.0027291,0.0017942,0.001785,0.0017734,0.001751,0.0017036
576,0.0041052,0.0041241,0.0041429,0.0041806,0.0042561,0.0029448,0.002952,0.0029592,0.00297,0.0029864
578,0.005524,0.0055633,0.0056026,0.0056813,0.0058385,0.0041792,0.0042056,0.004232,0.0042812,0.0043704
580,0.0069987,0.0070602,0.0071216,0.0072445,0.0074903,0.0054572,0.0055052,0.0055528,0.0056436,0.00581
582,0.0084615,0.0085456,0.0086297,0.0087979,0.0091343,0.0067296,0.0068008,0.0068692,0.007002,0.0072476
584,0.0099151,0.010023,0.01013,0.010346,0.010777,0.0079604,0.0080532,0.0081436,0.0083184,0.0086424
586,0.011294,0.011427,0.01156,0.011826,0.012359,0.0091776,0.0092956,0.0094088,0.0096292,0.010031
588,0.011893,0.012044,0.012194,0.012494,0.013095,0.010007,0.010144,0.010273,0.010527,0.010986
590,0.011655,0.011814,0.011973,0.012292,0.012929,0.010468,0.010612,0.010754,0.011028,0.01153
592,0.010821,0.010983,0.011145,0.011468,0.012115,0.010455,0.010598,0.010751,0.011034,0.011569
594,0.00973,0.0098893,0.010049,0.010367,0.011004,0.0099084,0.010045,0.010205,0.010493,0.011056
596,0.0082396,0.0083893,0.0085389,0.0088381,0.0094366,0.0087172,0.0088484,0.0090096,0.0092968,0.0098644
598,0.0068189,0.0069565,0.0070941,0.0073694,0.0079198,0.007312,0.0074372,0.0075876,0.0078608,0.0084008
600,0.0055103,0.0056352,0.0057601,0.0060098,0.0065093,0.005848,0.0059636,0.006098,0.0063432,0.006836
602,0.0041875,0.0042972,0.004407,0.0046265,0.0050654,0.0044296,0.0045292,0.0046444,0.004856,0.005288
604,0.0031069,0.0032013,0.0032957,0.0034845,0.0038621,0.0031864,0.0032696,0.0033656,0.003544,0.0039116
606,0.0026742,0.0027549,0.0028356,0.002997,0.0033198,0.0023336,0.002402,0.0024808,0.0026248,0.0029296
608,0.0029509,0.0030222,0.0030935,0.003236,0.0035212,0.0022424,0.0023004,0.0023688,0.0024908,0.0027472
610,0.0036056,0.0036735,0.0037415,0.0038775,0.0041494,0.0027108,0.0027648,0.0028268,0.0029392,0.00317
612,0.0045278,0.004599,0.0046702,0.0048125,0.0050972,0.0035036,0.0035584,0.0036204,0.0037336,0.0039608
614,0.0056249,0.0057035,0.005782,0.005939,0.006253,0.004472,0.0045312,0.0045996,0.0047224,0.0049652
616,0.0068936,0.0069815,0.0070694,0.0072452,0.0075968,0.005594,0.005662,0.0057384,0.0058772,0.0061484
618,0.0081253,0.0082218,0.0083183,0.0085113,0.0088972,0.0066664,0.006744,0.0068264,0.006982,0.007282
620,0.0091771,0.0092797,0.0093824,0.0095876,0.0099981,0.0076048,0.0076884,0.007778,0.0079456,0.0082688
622,0.0099077,0.010013,0.010118,0.010328,0.010748,0.0083808,0.008468,0.008562,0.0087364,0.0090744
624,0.010173,0.010275,0.010377,0.010581,0.01099,0.008866,0.0089528,0.0090472,0.0092196,0.0095584
626,0.010134,0.010229,0.010324,0.010515,0.010895,0.0090324,0.0091148,0.0092056,0.0093672,0.0096896
628,0.010069,0.010158,0.010247,0.010424,0.010778,0.0089784,0.009054,0.0091356,0.0092876,0.0095844
630,0.0099554,0.010037,0.010119,0.010283,0.010611,0.0088492,0.008918,0.0089948,0.0091316,0.0094036
632,0.0097835,0.0098583,0.0099331,0.010083,0.010382,0.008684,0.008746,0.0088148,0.0089396,0.0091864
634,0.0096378,0.0097059,0.0097741,0.0099104,0.010183,0.008506,0.0085612,0.008624,0.008736,0.0089608
636,0.0094273,0.0094884,0.0095494,0.0096715,0.0099157,0.0082972,0.0083472,0.008404,0.0085032,0.0087044
638,0.0091879,0.0092425,0.0092971,0.0094063,0.0096247,0.0081112,0.0081584,0.0082064,0.008298,0.0084788
640,0.0090055,0.0090547,0.0091039,0.0092024,0.0093993,0.0079656,0.008006,0.0080516,0.0081348,0.0082988
642,0.0088372,0.0088815,0.0089258,0.0090144,0.0091916,0.007842,0.0078792,0.0079192,0.0079944,0.0081452
644,0.0087601,0.0088002,0.0088404,0.0089206,0.0090812,0.0077548,0.0077888,0.0078264,0.0078936,0.0080304
646,0.008738,0.0087743,0.0088106,0.0088831,0.0090283,0.0076864,0.0077168,0.0077496,0.0078088,0.007934
648,0.008649,0.0086818,0.0087145,0.0087801,0.0089111,0.0076312,0.0076584,0.007688,0.0077428,0.007854
650,0.0084513,0.0084804,0.0085094,0.0085675,0.0086837,0.0075268,0.0075532,0.0075792,0.0076284,0.0077264
652,0.0081585,0.0081838,0.0082091,0.0082597,0.0083609,0.0073452,0.0073708,0.0073904,0.007434,0.0075224
654,0.0078459,0.0078676,0.0078894,0.0079328,0.0080197,0.0071476,0.0071704,0.0071876,0.007226,0.0073012
656,0.0076298,0.0076485,0.0076672,0.0077045,0.0077792,0.0069688,0.0069888,0.007004,0.007036,0.0071012
658,0.0074992,0.0075156,0.0075321,0.0075651,0.007631,0.0068448,0.0068616,0.0068752,0.0069032,0.0069608
660,0.0073768,0.0073913,0.0074057,0.0074346,0.0074923,0.0067432,0.0067568,0.006768,0.006794,0.0068436
662,0.007306,0.0073187,0.0073314,0.0073568,0.0074075,0.0066572,0.0066708,0.00668,0.0067012,0.0067452
664,0.0072351,0.0072462,0.0072572,0.0072794,0.0073236,0.0065672,0.00658,0.006588,0.0066072,0.006648
666,0.0071453,0.007155,0.0071646,0.0071838,0.0072222,0.0064796,0.0064892,0.0064976,0.006514,0.0065512
668,0.0070875,0.007096,0.0071045,0.0071215,0.0071554,0.0063892,0.0064004,0.0064068,0.0064216,0.0064516
670,0.0069789,0.0069864,0.0069939,0.007009,0.0070391,0.006284,0.0062924,0.006298,0.0063128,0.0063352
672,0.0067538,0.0067604,0.0067671,0.0067804,0.006807,0.006142,0.0061488,0.0061556,0.0061684,0.0061892
674,0.0063496,0.0063554,0.0063612,0.0063728,0.006396,0.0058768,0.00588,0.0058824,0.0058932,0.0059144
676,0.00577,0.0057751,0.0057802,0.0057903,0.0058106,0.00545,0.0054548,0.0054576,0.005466,0.0054828
678,0.0050835,0.0050879,0.0050923,0.0051012,0.005119,0.0048932,0.0048976,0.0049012,0.0049084,0.0049224
680,0.0043532,0.0043571,0.004361,0.0043687,0.0043843,0.0042716,0.0042736,0.0042764,0.004284,0.0042936
682,0.0035906,0.0035941,0.0035975,0.0036044,0.0036182,0.0036276,0.0036276,0.0036304,0.0036408,0.0036476
684,0.0027885,0.0027915,0.0027945,0.0028004,0.0028123,0.0028832,0.00288,0.0028808,0.002892,0.0028976
686,0.0020476,0.0020502,0.0020528,0.0020581,0.0020686,0.002154,0.0021508,0.0021516,0.00216,0.002164
688,0.001307,0.0013093,0.0013116,0.0013161,0.0013253,0.0014667,0.0014632,0.0014636,0.0014712,0.001476
690,0.00072968,0.00073165,0.00073362,0.00073757,0.00074546,0.0008942,0.00089244,0.00089192,0.00089992,0.00090264
692,0.0004063,0.00040799,0.00040968,0.00041305,0.0004198,0.0004872,0.00048228,0.00048108,0.00048876,0.0004902
694,0.00029929,0.00030079,0.00030229,0.00030529,0.00031128,0.00031408,0.00030944,0.00030704,0.00031788,0.00031728
696,0.00026075,0.00026207,0.00026338,0.00026601,0.00027127,0.000255,0.00025064,0.00024808,0.0002562,0.00025596
698,0.00023805,0.00023927,0.00024049,0.00024293,0.00024781,0.00022832,0.00022584,0.00022308,0.00023028,0.0002314
700,0.00022729,0.00022844,0.00022959,0.00023188,0.00023647,0.00021464,0.00021036,0.0002075,0.00021708,0.0002152
702,0.00021515,0.0002162,0.00021726,0.00021937,0.00022359,0.00020208,0.00019756,0.0001964,0.0002031,0.0002034
704,0.00020413,0.0002051,0.00020607,0.00020801,0.00021189,0.00019464,0.00018968,0.0001858,0.00019485,0.00019492
706,0.00019843,0.00019939,0.00020036,0.0002023,0.00020617,0.00018588,0.00018084,0.00018007,0.00018836,0.00018668
708,0.00019299,0.00019393,0.00019488,0.00019677,0.00020055,0.00017854,0.0001751,0.00017226,0.00018004,0.00017911
