Wavelength [nm],Background nominal [29 yrs],Modulation nominal [400% 29 yrs],Background validated [32 yrs],Modulation validated [400% 32 yrs]
700,0.00024589,0.00025376,0.00015884,0.00014977
702,0.00024432,0.00023878,0.00015844,0.00013725
704,0.00024507,0.00022011,0.00016505,0.00012911
706,0.00024163,0.00020656,0.00016584,0.0001204
708,0.00024864,0.00020233,0.00016534,0.00011578
710,0.00024922,0.00019239,0.0001663,0.00011033
712,0.00024671,0.0001892,0.00016392,0.00010718
714,0.00023864,0.00017701,0.0001558,0.00010108
716,0.00021683,0.00015927,0.00014712,9.33e-05
718,0.00019741,0.00015018,0.00012865,8.2706e-05
720,0.0001735,0.00013523,0.00010883,7.792e-05
722,0.0001579,0.00013419,9.5938e-05,7.2756e-05
724,0.00013013,0.00012182,7.9792e-05,7.0448e-05
726,0.00011827,0.00012502,6.5486e-05,6.7738e-05
728,0.00010458,0.00013441,5.3912e-05,6.8412e-05
730,9.3362e-05,0.00013506,4.0445e-05,6.7728e-05
732,6.7233e-05,0.0001188,3.0855e-05,6.8156e-05
734,5.5677e-05,0.00012315,3.7621e-05,7.1242e-05
736,4.1723e-05,0.00011231,3.2694e-05,6.6238e-05
738,4.3195e-05,0.00013095,3.2295e-05,7.2098e-05
740,3.6348e-05,0.00012502,3.1883e-05,7.882e-05
742,3.2339e-05,0.00010237,2.9253e-05,8.0028e-05
744,2.4499e-05,9.7806e-05,2.8491e-05,8.7742e-05
746,2.9844e-05,0.00010207,2.9353e-05,8.8706e-05
748,2.3541e-05,9.6833e-05,2.9477e-05,9.3988e-05
750,1.6929e-05,9.3904e-05,3.7415e-05,9.9296e-05
752,2.5271e-05,7.8201e-05,3.2107e-05,9.8482e-05
754,1.8734e-05,7.1758e-05,3.201e-05,0.00010805
756,2.0627e-05,8.7999e-05,3.0646e-05,0.00010907
758,1.8064e-05,7.1731e-05,3.2095e-05,0.00011128
760,1.9961e-05,7.8963e-05,4.1942e-05,0.00011406
762,2.6238e-05,0.00011475,4.4468e-05,0.00012084
764,3.9481e-05,0.0001238,3.6594e-05,0.00012046
766,3.1816e-05,0.00010229,3.3422e-05,0.00012336
768,3.3108e-05,8.2858e-05,4.3014e-05,0.00012106
770,6.8903e-05,0.00011786,6.1487e-05,0.00012539
772,6.8375e-05,8.9431e-05,6.2094e-05,0.00011778
774,7.943e-05,9.6595e-05,7.3464e-05,0.00012193
776,7.1209e-05,0.00012765,7.7446e-05,0.00012057
778,8.3905e-05,0.00013777,7.2218e-05,0.0001093
780,0.00010793,0.00015578,0.00010386,0.00010992
