Wavelength [nm],Background nominal [29 yrs],Modulation nominal [25% 29 yrs],Modulation nominal [50% 29 yrs],Modulation nominal [100% 29 yrs],Modulation nominal [200% 29 yrs],Modulation nominal [400% 29 yrs],Background validated [32 yrs],Modulation validated [25% 32 yrs],Modulation validated [50% 32 yrs],Modulation validated [100% 32 yrs],Modulation validated [200% 32 yrs],Modulation validated [400% 32 yrs]
454,3.0862e-05,3.5885e-05,4.0909e-05,5.0956e-05,7.1051e-05,0.00011124,4.4626e-05,5.0258e-05,5.5614e-05,6.6108e-05,8.8644e-05,0.00013297
456,3.2542e-05,3.7698e-05,4.2853e-05,5.3164e-05,7.3785e-05,0.00011503,4.7264e-05,5.2812e-05,5.9116e-05,6.9912e-05,9.3994e-05,0.00014167
458,3.5737e-05,4.1293e-05,4.6848e-05,5.7959e-05,8.018e-05,0.00012462,5.123e-05,5.7908e-05,6.455e-05,7.6068e-05,0.00010199,0.00015306
460,3.9164e-05,4.5003e-05,5.0842e-05,6.2519e-05,8.5874e-05,0.00013258,5.6814e-05,6.3422e-05,6.9794e-05,8.2674e-05,0.00011015,0.00016416
462,4.3308e-05,4.9438e-05,5.5569e-05,6.783e-05,9.2352e-05,0.0001414,6.2958e-05,6.9454e-05,7.688e-05,9.02e-05,0.00011963,0.00017716
464,4.9555e-05,5.566e-05,6.1766e-05,7.3976e-05,9.8397e-05,0.00014724,7.0714e-05,7.7626e-05,8.5384e-05,9.9266e-05,0.00012947,0.0001894
466,5.8215e-05,6.4105e-05,6.9995e-05,8.1776e-05,0.00010534,0.00015246,8.2118e-05,8.9226e-05,9.749e-05,0.00011123,0.0001415,0.00020178
468,7.2155e-05,7.7641e-05,8.3128e-05,9.4101e-05,0.00011605,0.00015994,9.9024e-05,0.00010552,0.00011303,0.00012651,0.00015497,0.00021266
470,8.3998e-05,8.8584e-05,9.3171e-05,0.00010234,0.00012069,0.00015739,0.00011226,0.00011796,0.00012417,0.00013552,0.00015962,0.00020926
472,9.519e-05,9.8523e-05,0.00010186,0.00010852,0.00012185,0.00014852,0.00012408,0.00012814,0.00013306,0.00014185,0.00016102,0.00019884
