Wavelength [nm],Background nominal [44 yrs],Modulation nominal [25% 44 yrs],Modulation nominal [50% 44 yrs],Modulation nominal [100% 44 yrs],Modulation nominal [200% 44 yrs],Modulation nominal [400% 44 yrs],Background validated [32 yrs],Modulation validated [25% 32 yrs],Modulation validated [50% 32 yrs],Modulation validated [100% 32 yrs],Modulation validated [200% 32 yrs],Modulation validated [400% 32 yrs]
492,0.00012585,0.00012765,0.00012945,0.00013305,0.00014025,0.00015465,0.00011979,0.00012133,0.0001232,0.000127,0.00013472,0.00015061
494,0.00020037,0.00019826,0.00019615,0.00019193,0.00018349,0.0001666,0.00017511,0.00017405,0.00017383,0.00017289,0.00017135,0.00016315
496,0.00038658,0.00037435,0.00036211,0.00033764,0.00028871,0.00019084,0.00032136,0.00031278,0.00030474,0.00028828,0.00025822,0.00018226
498,0.00070252,0.00067312,0.00064371,0.0005849,0.00046728,0.00023204,0.0005941,0.00057096,0.00054732,0.0005008,0.00041484,0.00021686
500,0.0010852,0.001035,0.00098467,0.00088411,0.00068299,0.00028075,0.00095704,0.00091444,0.00087014,0.00078466,0.0006227,0.00026186
502,0.0014302,0.0013615,0.0012928,0.0011555,0.00088082,0.00033148,0.001303,0.0012421,0.0011799,0.001059,0.00081884,0.00030552
504,0.0016747,0.001593,0.0015114,0.001348,0.0010214,0.00036823,0.0015449,0.0014724,0.0013983,0.0012537,0.00095174,0.00033778
506,0.0018211,0.0017317,0.0016423,0.0014636,0.0011061,0.00039109,0.0016836,0.0016059,0.0015249,0.0013651,0.0010241,0.0003588
508,0.0018897,0.0017968,0.001704,0.0015184,0.0011472,0.00040469,0.0017513,0.001672,0.0015871,0.0014182,0.0010611,0.00037152
510,0.0018976,0.0018047,0.0017118,0.0015261,0.0011547,0.00041179,0.001755,0.0016735,0.001587,0.0014136,0.001062,0.00037508
512,0.0018185,0.0017302,0.0016419,0.0014652,0.0011119,0.00040532,0.0016554,0.0015736,0.00149,0.0013217,0.00099908,0.00036456
514,0.0015651,0.001491,0.001417,0.0012689,0.00097271,0.00038034,0.0013963,0.0013224,0.0012505,0.0011069,0.00084434,0.00033462
516,0.0010964,0.0010481,0.00099983,0.00090328,0.00071017,0.00032395,0.00099202,0.00093908,0.0008903,0.00079238,0.00061792,0.00029136
518,0.00057295,0.00055376,0.00053456,0.00049617,0.0004194,0.00026584,0.00054944,0.0005255,0.00050418,0.00046054,0.0003847,0.00024772
520,0.00028339,0.00028042,0.00027746,0.00027152,0.00025966,0.00023593,0.0002826,0.00027698,0.00027278,0.00026332,0.00024944,0.00022662
522,0.00018958,0.00019221,0.00019484,0.0002001,0.00021063,0.00023168,0.00018851,0.00018965,0.00019151,0.00019531,0.00020472,0.00022262
524,0.00016726,0.0001714,0.00017554,0.00018381,0.00020037,0.00023347,0.00016542,0.00016852,0.00017215,0.00017977,0.00019669,0.00022656
526,0.00016398,0.00016858,0.00017318,0.00018237,0.00020076,0.00023755,0.00016235,0.000166,0.00017031,0.00017893,0.00019835,0.00023278
528,0.00016512,0.00017022,0.00017531,0.0001855,0.00020588,0.00024663,0.0001634,0.00016723,0.00017208,0.00018153,0.00020227,0.0002388
530,0.00016714,0.00017278,0.00017843,0.00018972,0.00021231,0.00025749,0.00016477,0.00016919,0.00017402,0.00018461,0.00020664,0.00024532
532,0.00016821,0.00017418,0.00018014,0.00019206,0.00021592,0.00026362,0.00016627,0.00017111,0.00017639,0.00018766,0.00021096,0.00025318
534,0.00016891,0.00017518,0.00018144,0.00019398,0.00021904,0.00026917,0.00016816,0.00017373,0.00017918,0.00019104,0.00021602,0.0002606
536,0.00016992,0.00017664,0.00018336,0.0001968,0.00022369,0.00027746,0.00017028,0.00017614,0.00018214,0.00019478,0.00022124,0.00026784
538,0.00017132,0.00017843,0.00018554,0.00019977,0.00022822,0.00028512,0.0001725,0.00017882,0.00018536,0.00019884,0.00022676,0.00027546
540,0.00017343,0.00018108,0.00018874,0.00020406,0.0002347,0.00029597,0.00017526,0.00018192,0.00018886,0.00020346,0.00023314,0.00028566
542,0.00017539,0.00018353,0.00019167,0.00020795,0.00024052,0.00030566,0.00017845,0.00018595,0.0001932,0.00020902,0.00024108,0.00029822
544,0.00017827,0.00018707,0.00019587,0.00021347,0.00024868,0.0003191,0.00018138,0.00018938,0.00019727,0.00021418,0.00024852,0.00031026
