Wavelength [nm],Background nominal [32 yrs],Modulation nominal [x0.25 32 yrs],Modulation nominal [x0.50 32 yrs],Modulation nominal [x1.00 32 yrs],Modulation nominal [x2.00 32 yrs],Background validated [32 yrs],Modulation validated [x0.25 32 yrs],Modulation validated [x0.50 32 yrs],Modulation validated [x1.00 32 yrs],Modulation validated [x2.00 32 yrs]
656,0.0076298,0.0076477,0.0076656,0.0077013,0.0077728,0.006842,0.006858,0.0068754,0.0069048,0.0069652
658,0.0074992,0.0075149,0.0075307,0.0075622,0.0076253,0.0067002,0.0067132,0.0067286,0.0067532,0.0068084
660,0.0073768,0.0073906,0.0074045,0.0074321,0.0074874,0.0065806,0.0065926,0.0066062,0.0066276,0.0066742
662,0.007306,0.0073181,0.0073303,0.0073546,0.0074032,0.0064788,0.0064894,0.0065026,0.0065182,0.0065616
664,0.0072351,0.0072457,0.0072563,0.0072775,0.0073198,0.0063786,0.0063878,0.006399,0.0064118,0.006451
666,0.0071453,0.0071546,0.0071638,0.0071822,0.007219,0.0062758,0.0062848,0.0062942,0.0063056,0.006337
668,0.0070875,0.0070957,0.0071038,0.00712,0.0071526,0.0061716,0.006179,0.0061878,0.0061946,0.0062242
670,0.0069789,0.0069861,0.0069933,0.0070077,0.0070366,0.0060502,0.006055,0.0060636,0.0060698,0.0060948
672,0.0067538,0.0067601,0.0067665,0.0067793,0.0068048,0.0058936,0.0058976,0.005905,0.0059098,0.0059318
674,0.0063496,0.0063552,0.0063608,0.0063719,0.0063941,0.0056002,0.0056034,0.0056122,0.0056152,0.0056356
676,0.00577,0.0057749,0.0057798,0.0057895,0.005809,0.0051572,0.005162,0.0051692,0.0051716,0.0051918
678,0.0050835,0.0050877,0.005092,0.0051006,0.0051176,0.004599,0.004602,0.0046088,0.004612,0.0046286
680,0.0043532,0.0043569,0.0043607,0.0043682,0.0043831,0.0039864,0.0039872,0.0039946,0.003997,0.0040108
682,0.0035906,0.0035939,0.0035973,0.0036039,0.0036172,0.0033594,0.0033604,0.003367,0.0033698,0.0033832
684,0.0027885,0.0027914,0.0027943,0.0028,0.0028115,0.002641,0.0026428,0.002649,0.0026512,0.002664
686,0.0020476,0.0020501,0.0020527,0.0020578,0.0020679,0.001951,0.0019515,0.0019557,0.0019581,0.0019696
688,0.001307,0.0013092,0.0013114,0.0013158,0.0013247,0.0013077,0.0013073,0.001312,0.0013132,0.0013262
690,0.00072968,0.00073159,0.00073351,0.00073734,0.000745,0.00078884,0.00078742,0.00079154,0.0007925,0.0008026
692,0.0004063,0.00040794,0.00040958,0.00041286,0.00041943,0.00043294,0.00042916,0.00043132,0.00043258,0.00044274
694,0.00029929,0.00030076,0.00030222,0.00030515,0.000311,0.00029,0.00028664,0.00028828,0.00028792,0.00029816
696,0.00026075,0.00026204,0.00026332,0.0002659,0.00027104,0.00023952,0.0002371,0.00023916,0.00023882,0.00024548
698,0.00023805,0.00023925,0.00024045,0.00024285,0.00024766,0.00022054,0.0002179,0.00021886,0.00021946,0.00022244
700,0.00022729,0.00022842,0.00022956,0.00023182,0.00023636,0.00020707,0.00020436,0.00020522,0.00020726,0.00020988
702,0.00021515,0.00021619,0.00021723,0.00021932,0.0002235,0.00019651,0.00019365,0.00019676,0.00019857,0.00020196
704,0.00020413,0.0002051,0.00020606,0.00020798,0.00021183,0.00019046,0.00018671,0.00018661,0.0001894,0.00019218
706,0.00019843,0.00019939,0.00020036,0.00020229,0.00020615,0.00018441,0.0001794,0.00018035,0.00018358,0.00018425
708,0.00019299,0.00019393,0.00019488,0.00019677,0.00020056,0.00017816,0.00017166,0.00017428,0.00017675,0.00017899
710,0.00017966,0.00018051,0.00018136,0.00018306,0.00018646,0.00016927,0.00016589,0.00016741,0.00016927,0.00017085
712,0.0001709,0.00017169,0.00017248,0.00017406,0.00017722,0.00016177,0.00015431,0.000157,0.00015811,0.00015849
714,0.00015439,0.0001551,0.00015582,0.00015724,0.00016009,0.00014989,0.00014183,0.00014519,0.000146,0.00014719
716,0.00014682,0.00014753,0.00014824,0.00014967,0.00015253,0.00013324,0.00012908,0.0001311,0.00013414,0.00013521
718,0.00013135,0.00013203,0.0001327,0.00013406,0.00013677,0.00012275,0.0001121,0.00011404,0.00012207,0.00012281
720,0.00011655,0.0001172,0.00011785,0.00011915,0.00012175,0.00010727,0.00010199,0.00010517,0.00010802,0.00011074
722,0.00010341,0.00010403,0.00010464,0.00010586,0.00010831,9.7092e-05,9.0434e-05,9.0922e-05,9.6544e-05,9.9182e-05
724,9.9056e-05,9.9665e-05,0.00010027,0.00010149,0.00010393,8.6356e-05,8.3924e-05,8.3746e-05,9.0962e-05,8.8826e-05
726,8.9167e-05,8.9675e-05,9.0184e-05,9.1201e-05,9.3236e-05,8.2908e-05,7.7842e-05,7.9094e-05,8.805e-05,8.4966e-05
728,8.3837e-05,8.4326e-05,8.4815e-05,8.5793e-05,8.7749e-05,7.9428e-05,7.4804e-05,7.3098e-05,8.5022e-05,8.3284e-05
730,8.2501e-05,8.3008e-05,8.3515e-05,8.453e-05,8.6559e-05,7.7828e-05,7.2382e-05,7.4786e-05,8.0982e-05,8.2812e-05
732,8.0776e-05,8.1257e-05,8.1739e-05,8.2702e-05,8.4629e-05,7.623e-05,7.4476e-05,7.3594e-05,8.057e-05,8.0636e-05
734,8.0926e-05,8.1426e-05,8.1925e-05,8.2923e-05,8.492e-05,7.5374e-05,7.4462e-05,7.0306e-05,7.8756e-05,8.107e-05
736,7.1351e-05,7.1842e-05,7.2333e-05,7.3316e-05,7.528e-05,7.1216e-05,6.9718e-05,7.0756e-05,7.2904e-05,7.7554e-05
738,6.0516e-05,6.0952e-05,6.1387e-05,6.2259e-05,6.4001e-05,6.939e-05,6.7874e-05,7.1008e-05,7.0038e-05,7.5868e-05
740,5.4394e-05,5.4786e-05,5.5178e-05,5.5962e-05,5.7529e-05,6.7036e-05,6.5614e-05,6.6442e-05,6.767e-05,7.5462e-05
742,5.5845e-05,5.6272e-05,5.6699e-05,5.7553e-05,5.9261e-05,6.771e-05,6.4948e-05,6.2552e-05,6.6598e-05,7.3146e-05
744,6.1069e-05,6.157e-05,6.2071e-05,6.3073e-05,6.5077e-05,6.2028e-05,6.3738e-05,6.1208e-05,6.1032e-05,7.447e-05
746,5.0253e-05,5.0688e-05,5.1123e-05,5.1993e-05,5.3732e-05,6.3272e-05,6.201e-05,6.2914e-05,5.7622e-05,7.2894e-05
748,5.0577e-05,5.0986e-05,5.1394e-05,5.2211e-05,5.3846e-05,6.1352e-05,6.1234e-05,6.2546e-05,5.7462e-05,7.3208e-05
750,5.2154e-05,5.2532e-05,5.291e-05,5.3667e-05,5.5179e-05,6.0654e-05,6.2342e-05,6.3964e-05,5.7024e-05,7.0916e-05
752,5.3542e-05,5.3977e-05,5.4413e-05,5.5285e-05,5.7027e-05,6.3482e-05,6.3072e-05,6.2378e-05,5.3938e-05,7.1254e-05
754,5.1155e-05,5.1507e-05,5.186e-05,5.2564e-05,5.3972e-05,6.406e-05,6.3846e-05,6.1958e-05,5.3942e-05,7.6128e-05
756,6.0708e-05,6.1134e-05,6.1561e-05,6.2414e-05,6.412e-05,6.5224e-05,6.5336e-05,6.9732e-05,5.4702e-05,7.4184e-05
758,7.5156e-05,7.5656e-05,7.6155e-05,7.7155e-05,7.9154e-05,6.4916e-05,6.4882e-05,6.8666e-05,5.3822e-05,6.9816e-05
760,6.6901e-05,6.7292e-05,6.7682e-05,6.8464e-05,7.0027e-05,6.049e-05,6.5276e-05,7.1232e-05,5.372e-05,7.122e-05
762,7.5395e-05,7.5899e-05,7.6403e-05,7.741e-05,7.9425e-05,6.4478e-05,6.7278e-05,7.149e-05,5.8356e-05,7.6496e-05
764,8.0791e-05,8.126e-05,8.1728e-05,8.2665e-05,8.4539e-05,6.6966e-05,6.7042e-05,7.7234e-05,6.0496e-05,8.0708e-05
766,8.0258e-05,8.067e-05,8.1082e-05,8.1905e-05,8.3553e-05,7.4732e-05,7.2024e-05,7.6926e-05,6.4696e-05,8.2504e-05
768,8.2493e-05,8.2816e-05,8.3139e-05,8.3786e-05,8.5079e-05,7.2982e-05,8.048e-05,8.3168e-05,5.963e-05,8.5272e-05
770,9.7057e-05,9.7411e-05,9.7765e-05,9.8472e-05,9.9886e-05,8.215e-05,8.0022e-05,8.3196e-05,6.524e-05,8.7626e-05
772,9.4908e-05,9.5166e-05,9.5423e-05,9.5939e-05,9.6971e-05,7.9834e-05,8.3606e-05,8.6226e-05,7.2346e-05,8.9868e-05
774,8.9025e-05,8.9349e-05,8.9673e-05,9.0322e-05,9.1619e-05,8.6402e-05,8.3426e-05,8.999e-05,8.528e-05,9.4786e-05
776,9.7212e-05,9.7668e-05,9.8125e-05,9.9038e-05,0.00010087,8.841e-05,8.8478e-05,8.6186e-05,8.9634e-05,8.7642e-05
778,0.00010404,0.00010435,0.00010467,0.00010529,0.00010655,9.5462e-05,9.5854e-05,0.00010144,9.2306e-05,9.616e-05
780,0.00011245,0.00011278,0.00011312,0.00011378,0.00011512,0.00010443,0.00010196,0.00010111,9.1514e-05,0.00010844
