Wavelength [nm],Background nominal [29 yrs],Modulation nominal [25% 29 yrs],Modulation nominal [50% 29 yrs],Modulation nominal [100% 29 yrs],Modulation nominal [200% 29 yrs],Modulation nominal [400% 29 yrs],Background validated [32 yrs],Modulation validated [25% 32 yrs],Modulation validated [50% 32 yrs],Modulation validated [100% 32 yrs],Modulation validated [200% 32 yrs],Modulation validated [400% 32 yrs]
380,5.3152e-06,6.5581e-06,7.8009e-06,1.0287e-05,1.5258e-05,2.5201e-05,6.3678e-06,7.8396e-06,8.4114e-06,1.0885e-05,1.7765e-05,2.9903e-05
382,6.522e-06,7.6519e-06,8.7818e-06,1.1042e-05,1.5561e-05,2.46e-05,6.8096e-06,7.3208e-06,8.214e-06,1.1139e-05,1.7412e-05,2.7908e-05
384,6.2858e-06,7.4984e-06,8.711e-06,1.1136e-05,1.5987e-05,2.5688e-05,6.707e-06,7.7938e-06,8.8486e-06,1.0849e-05,1.7187e-05,2.8088e-05
386,4.8304e-06,6.0842e-06,7.3379e-06,9.8455e-06,1.4861e-05,2.4891e-05,6.521e-06,7.5608e-06,9.3174e-06,1.0537e-05,1.6389e-05,2.7252e-05
388,6.1893e-06,7.7462e-06,9.3032e-06,1.2417e-05,1.8645e-05,3.1101e-05,5.9822e-06,7.7058e-06,8.9678e-06,1.0611e-05,1.5785e-05,2.594e-05
390,6.7863e-06,8.3539e-06,9.9215e-06,1.3057e-05,1.9327e-05,3.1868e-05,5.9136e-06,7.7682e-06,8.4552e-06,1.0836e-05,1.6641e-05,2.3157e-05
392,6.2734e-06,7.4888e-06,8.7041e-06,1.1135e-05,1.5996e-05,2.5719e-05,6.0238e-06,7.229e-06,8.6886e-06,1.103e-05,1.5754e-05,2.3685e-05
394,4.854e-06,6.1239e-06,7.3939e-06,9.9339e-06,1.5014e-05,2.5173e-05,5.55e-06,7.1184e-06,8.4448e-06,1.0487e-05,1.5701e-05,2.3173e-05
396,6.4083e-06,7.3211e-06,8.234e-06,1.006e-05,1.3711e-05,2.1014e-05,5.8366e-06,6.9142e-06,7.3666e-06,1.0796e-05,1.5239e-05,2.1468e-05
398,5.6831e-06,6.773e-06,7.863e-06,1.0043e-05,1.4403e-05,2.3122e-05,6.03e-06,7.3394e-06,8.089e-06,1.0968e-05,1.4195e-05,2.2881e-05
400,5.0059e-06,6.0344e-06,7.0629e-06,9.12e-06,1.3234e-05,2.1462e-05,5.917e-06,7.2444e-06,8.5396e-06,1.1557e-05,1.5078e-05,2.1141e-05
402,6.4771e-06,7.5915e-06,8.7059e-06,1.0935e-05,1.5392e-05,2.4307e-05,7.0932e-06,8.6044e-06,9.719e-06,1.2898e-05,1.6327e-05,2.3746e-05
