Wavelength [nm],Background nominal [44 yrs],Modulation nominal [400% 44 yrs],Background validated [32 yrs],Modulation validated [400% 32 yrs]
726,0.00011834,0.00012496,7.1634e-05,6e-05
728,0.0001061,0.0001329,6.432e-05,5.9114e-05
730,9.484e-05,0.00013358,5.7628e-05,5.8652e-05
732,6.902e-05,0.00011702,5.2932e-05,6.503e-05
734,5.7939e-05,0.00012089,4.6852e-05,6.9524e-05
736,4.4293e-05,0.00010974,4.848e-05,7.0936e-05
738,4.6302e-05,0.00012784,4.4868e-05,6.9624e-05
740,3.9303e-05,0.00012206,4.3003e-05,7.3458e-05
742,3.4908e-05,9.9798e-05,3.4886e-05,8.2074e-05
744,2.7707e-05,9.4598e-05,2.7948e-05,8.0542e-05
746,3.2745e-05,9.9165e-05,3.2624e-05,8.9478e-05
748,2.6547e-05,9.3826e-05,3.2124e-05,9.5618e-05
750,2.0005e-05,9.0828e-05,2.6261e-05,9.8828e-05
752,2.7876e-05,7.5596e-05,2.8963e-05,0.00010201
754,2.1249e-05,6.9242e-05,2.6589e-05,9.8534e-05
756,2.3389e-05,8.5237e-05,2.8208e-05,0.00010758
758,2.0411e-05,6.9384e-05,2.9776e-05,0.00011237
760,2.2473e-05,7.6452e-05,2.7633e-05,0.00011679
762,2.9607e-05,0.00011138,3.7482e-05,0.00011911
764,4.2177e-05,0.0001211,3.7338e-05,0.00011992
766,3.4206e-05,9.9899e-05,4.0277e-05,0.0001219
768,3.4488e-05,8.1479e-05,4.227e-05,0.00012722
770,7.0702e-05,0.00011606,3.9562e-05,0.00012701
772,6.9875e-05,8.7931e-05,5.4402e-05,0.000121
774,8.0271e-05,9.5754e-05,5.3431e-05,0.00011057
776,7.198e-05,0.00012688,5.6791e-05,0.00011285
778,8.5348e-05,0.00013633,7.0507e-05,0.00011156
780,0.00010847,0.00015523,7.5263e-05,0.00011195
