Wavelength [nm],Background nominal [28 yrs],Modulation nominal [25% 28 yrs],Modulation nominal [50% 28 yrs],Modulation nominal [100% 28 yrs],Modulation nominal [200% 28 yrs],Modulation nominal [400% 28 yrs],Background validated [32 yrs],Modulation validated [25% 32 yrs],Modulation validated [50% 32 yrs],Modulation validated [100% 32 yrs],Modulation validated [200% 32 yrs],Modulation validated [400% 32 yrs]
508,0.0018975,0.0018037,0.0017099,0.0015224,0.0011472,0.00039681,0.0017864,0.0016989,0.0016105,0.0014385,0.0010753,0.00036518
510,0.0019055,0.0018116,0.0017178,0.0015301,0.0011547,0.0004039,0.0017711,0.0016872,0.0016,0.0014286,0.0010625,0.00036946
512,0.001826,0.0017368,0.0016475,0.001469,0.0011119,0.0003978,0.0016547,0.0015757,0.001494,0.0013307,0.00099036,0.00036034
514,0.0015715,0.0014967,0.0014218,0.0012721,0.00097271,0.0003739,0.0013787,0.00131,0.0012412,0.0011041,0.00082996,0.00033146
516,0.0011008,0.001052,0.0010031,0.00090548,0.00071017,0.00031953,0.0009645,0.00091632,0.00087026,0.00077952,0.00060316,0.00028862
518,0.00057512,0.00055565,0.00053619,0.00049726,0.0004194,0.00026367,0.000529,0.00050744,0.00048758,0.00044888,0.00037654,0.00024688
520,0.00028427,0.00028119,0.00027812,0.00027196,0.00025966,0.00023505,0.00027464,0.00027008,0.00026598,0.00025836,0.00024726,0.00022634
522,0.00019,0.00019258,0.00019516,0.00020031,0.00021063,0.00023126,0.0001865,0.00018814,0.00018982,0.00019444,0.00020467,0.00022386
524,0.00016757,0.00017167,0.00017577,0.00018397,0.00020037,0.00023316,0.00016515,0.00016869,0.00017229,0.00018062,0.00019699,0.00022864
526,0.00016427,0.00016884,0.0001734,0.00018252,0.00020076,0.00023725,0.00016241,0.00016672,0.00017066,0.00018031,0.00019919,0.00023488
528,0.0001654,0.00017046,0.00017552,0.00018564,0.00020588,0.00024635,0.00016351,0.00016814,0.00017266,0.00018298,0.00020325,0.00024246
530,0.0001674,0.00017301,0.00017863,0.00018985,0.00021231,0.00025722,0.00016494,0.00016992,0.00017495,0.00018617,0.00020817,0.0002503
532,0.00016843,0.00017437,0.0001803,0.00019217,0.00021592,0.0002634,0.00016646,0.00017196,0.00017728,0.00018914,0.00021311,0.00025766
534,0.00016912,0.00017536,0.0001816,0.00019408,0.00021904,0.00026896,0.00016863,0.0001741,0.00018012,0.00019236,0.00021834,0.000265
536,0.00017011,0.00017681,0.00018351,0.0001969,0.00022369,0.00027726,0.00017077,0.00017671,0.00018294,0.00019598,0.00022326,0.00027288
538,0.00017148,0.00017857,0.00018567,0.00019985,0.00022822,0.00028495,0.00017303,0.00017923,0.00018595,0.00019981,0.00022884,0.00028122
540,0.0001736,0.00018123,0.00018887,0.00020415,0.0002347,0.0002958,0.00017594,0.00018234,0.00018992,0.00020457,0.0002354,0.00029176
542,0.0001755,0.00018363,0.00019176,0.00020801,0.00024052,0.00030555,0.00017923,0.00018645,0.00019447,0.00021009,0.0002434,0.00030422
544,0.00017839,0.00018717,0.00019596,0.00021353,0.00024868,0.00031898,0.00018217,0.00018976,0.00019868,0.00021533,0.00025116,0.00031656
546,0.0001799,0.00018923,0.00019855,0.0002172,0.0002545,0.00032909,0.00018487,0.00019282,0.0002026,0.00022046,0.00025898,0.00032846
548,0.00018296,0.00019299,0.00020303,0.0002231,0.00026324,0.00034352,0.00018767,0.0001963,0.0002067,0.00022606,0.00026718,0.00034352
550,0.00018708,0.00019793,0.00020877,0.00023045,0.00027381,0.00036054,0.00019032,0.00019952,0.00021054,0.00023142,0.0002763,0.0003591
552,0.00018886,0.00020051,0.00021215,0.00023545,0.00028205,0.00037523,0.00019296,0.00020343,0.00021504,0.0002379,0.00028682,0.00037558
554,0.00019199,0.00020479,0.00021759,0.00024318,0.00029436,0.00039673,0.00019607,0.00020728,0.00022044,0.00024558,0.00029782,0.00039574
556,0.00019495,0.00020899,0.00022302,0.0002511,0.00030724,0.00041953,0.00019856,0.00021091,0.00022512,0.00025234,0.0003093,0.00041668
558,0.00019684,0.00021238,0.00022793,0.00025902,0.0003212,0.00044557,0.00020123,0.00021486,0.0002305,0.0002603,0.00032316,0.00044108
560,0.00019932,0.00021687,0.00023443,0.00026954,0.00033977,0.00048023,0.00020421,0.0002199,0.00023734,0.00027098,0.00034104,0.0004759
562,0.00020269,0.00022462,0.00024654,0.00029038,0.00037808,0.00055346,0.00020716,0.00022816,0.00024988,0.00028966,0.0003721,0.00055072
564,0.00020575,0.00024548,0.00028521,0.00036466,0.00052357,0.00084139,0.0002108,0.00025302,0.00029122,0.00035658,0.00048562,0.00084502
566,0.00020984,0.00030002,0.00039019,0.00057054,0.00093124,0.0016526,0.00021536,0.00031078,0.00039462,0.0005389,0.00081668,0.0016425
568,0.00021478,0.00039994,0.00058511,0.00095544,0.0016961,0.0031774,0.00022098,0.00041092,0.00058252,0.00088914,0.0014886,0.0031174
570,0.00021923,0.00053563,0.00085203,0.0014848,0.0027504,0.0052816,0.00022824,0.00055314,0.000853,0.0014023,0.0024912,0.00516
572,0.00022594,0.00069679,0.0011676,0.0021093,0.0039927,0.0077594,0.00023834,0.00072114,0.0011718,0.0020075,0.0036764,0.0074898
574,0.00023571,0.00088499,0.0015343,0.0028328,0.0054299,0.010624,0.00025762,0.0009097,0.0015212,0.0026654,0.0049746,0.010018
576,0.00026434,0.0011003,0.0019363,0.0036083,0.0069523,0.01364,0.00030288,0.0011246,0.0018995,0.0033534,0.0063164,0.012571
578,0.00033267,0.0013337,0.0023348,0.0043369,0.0083411,0.01635,0.00038826,0.0013489,0.002265,0.0039868,0.0075142,0.014776
580,0.000455,0.0016129,0.0027707,0.0050864,0.0097179,0.018981,0.00052568,0.0015995,0.0026344,0.0045898,0.0086194,0.016745
582,0.00063133,0.0019193,0.0032074,0.0057834,0.010935,0.02124,0.00071692,0.0018715,0.0029932,0.0051288,0.0095616,0.018357
584,0.0008703,0.0022321,0.0035939,0.0063175,0.011765,0.022659,0.00095392,0.0021442,0.0033116,0.005563,0.01027,0.019494
586,0.0012037,0.0025602,0.0039167,0.0066298,0.012056,0.022908,0.0012654,0.0024362,0.0035994,0.0058904,0.010735,0.020112
588,0.0015407,0.0028527,0.0041647,0.0067886,0.012037,0.022532,0.0015846,0.0027124,0.0038412,0.0061058,0.010954,0.020231
590,0.0019181,0.0031729,0.0044278,0.0069375,0.011957,0.021996,0.0019253,0.0030004,0.004082,0.0062866,0.011048,0.02004
592,0.0023375,0.0035267,0.0047159,0.0070942,0.011851,0.021364,0.0022766,0.003296,0.0043244,0.0064494,0.01106,0.019658
594,0.0027687,0.0038965,0.0050242,0.0072798,0.011791,0.020813,0.0026292,0.0035942,0.0045698,0.006605,0.011022,0.019165
596,0.003228,0.004292,0.0053561,0.0074843,0.011741,0.020253,0.0029942,0.0039056,0.0048246,0.0067602,0.010927,0.018544
598,0.0036269,0.0046229,0.0056189,0.0076108,0.011595,0.019562,0.0033108,0.0041748,0.0050482,0.0068944,0.010827,0.017982
600,0.0039989,0.0049224,0.0058459,0.0076929,0.011387,0.018775,0.0036174,0.0044342,0.0052654,0.007023,0.010722,0.01743
602,0.0043686,0.0052197,0.0060708,0.007773,0.011177,0.017986,0.0039194,0.0046904,0.005482,0.007148,0.010611,0.016867
604,0.0046986,0.0054756,0.0062525,0.0078063,0.010914,0.017129,0.004206,0.0049314,0.0056838,0.0072556,0.010464,0.016238
606,0.0048978,0.0055928,0.0062878,0.0076778,0.010458,0.016018,0.0044462,0.0051244,0.00583,0.0072788,0.010151,0.015327
608,0.0048331,0.0054405,0.006048,0.0072629,0.0096926,0.014552,0.0045296,0.0051512,0.0057974,0.0070888,0.0095526,0.014058
610,0.0045619,0.005076,0.0055901,0.0066184,0.0086749,0.012788,0.0044124,0.004955,0.0055148,0.0066068,0.008633,0.012421
612,0.0041565,0.0045783,0.005,0.0058435,0.0075305,0.010904,0.0040814,0.0045218,0.004973,0.005847,0.0074652,0.010536
614,0.003632,0.003964,0.004296,0.0049601,0.0062882,0.0089444,0.0035726,0.0039088,0.0042502,0.0049232,0.0061892,0.0085918
616,0.0029666,0.0032072,0.0034478,0.0039291,0.0048915,0.0068163,0.002887,0.0031236,0.0033626,0.0038474,0.0047784,0.006527
618,0.0022738,0.0024411,0.0026085,0.0029432,0.0036127,0.0049516,0.0021638,0.0023226,0.0024826,0.0028144,0.0034626,0.004666
620,0.0015543,0.0016624,0.0017704,0.0019864,0.0024186,0.0032828,0.0014831,0.001585,0.0016875,0.0019012,0.0023254,0.0031064
622,0.00090903,0.0009696,0.0010302,0.0011513,0.0013936,0.0018782,0.00090092,0.00095956,0.0010193,0.0011429,0.0013914,0.0018425
624,0.00050647,0.0005379,0.00056933,0.0006322,0.00075793,0.0010094,0.00051862,0.0005492,0.0005813,0.00064694,0.0007791,0.0010175
626,0.00036072,0.00037925,0.00039778,0.00043485,0.00050897,0.00065723,0.00035982,0.00037612,0.00039464,0.00043166,0.00050758,0.00064722
628,0.00041614,0.00043158,0.00044703,0.00047791,0.00053968,0.00066322,0.00039004,0.00040272,0.00041776,0.000447,0.00050784,0.00061968
630,0.00062438,0.00063989,0.0006554,0.00068643,0.00074848,0.00087258,0.00056454,0.00057822,0.00059352,0.00062362,0.00068468,0.00079766
632,0.00096147,0.00097861,0.00099576,0.00103,0.0010986,0.0012358,0.00088252,0.00089886,0.00091672,0.00095262,0.0010231,0.001152
634,0.0014112,0.0014306,0.0014499,0.0014887,0.0015663,0.0017214,0.0013289,0.0013502,0.0013722,0.0014162,0.0015014,0.0016556
636,0.0020656,0.0020874,0.0021093,0.002153,0.0022404,0.0024153,0.0019576,0.0019869,0.002016,0.0020703,0.0021746,0.0023606
638,0.002811,0.0028348,0.0028586,0.0029063,0.0030017,0.0031924,0.0026622,0.002702,0.0027382,0.0028062,0.00293,0.0031416
640,0.0035891,0.0036144,0.0036396,0.0036901,0.0037911,0.0039931,0.0034028,0.0034558,0.0035006,0.0035838,0.0037296,0.003963
642,0.0043964,0.0044229,0.0044494,0.0045023,0.0046083,0.0048201,0.004145,0.0042126,0.004267,0.0043662,0.0045334,0.0047848
644,0.0051868,0.0052139,0.0052409,0.0052949,0.005403,0.0056192,0.0048624,0.0049452,0.0050096,0.0051216,0.0053066,0.0055714
646,0.005929,0.0059553,0.0059815,0.006034,0.0061389,0.0063487,0.0055762,0.0056744,0.0057468,0.0058658,0.0060554,0.0063226
648,0.0064209,0.0064452,0.0064695,0.0065182,0.0066155,0.0068102,0.0060882,0.0061894,0.006259,0.0063696,0.0065432,0.0067912
650,0.006746,0.0067675,0.0067891,0.0068322,0.0069184,0.0070908,0.006454,0.0065426,0.0065992,0.0066888,0.0068294,0.0070434
652,0.0068924,0.0069112,0.00693,0.0069677,0.0070429,0.0071934,0.0066564,0.0067144,0.0067514,0.0068104,0.006911,0.0070894
