Wavelength [nm],Background nominal [44 yrs],Modulation nominal [25% 44 yrs],Modulation nominal [50% 44 yrs],Modulation nominal [100% 44 yrs],Modulation nominal [200% 44 yrs],Modulation nominal [400% 44 yrs],Background validated [32 yrs],Modulation validated [25% 32 yrs],Modulation validated [50% 32 yrs],Modulation validated [100% 32 yrs],Modulation validated [200% 32 yrs],Modulation validated [400% 32 yrs]
526,0.00037748,0.00037281,0.00036814,0.00035881,0.00034014,0.00030281,0.00034356,0.00033886,0.00033756,0.00033226,0.00032464,0.0002987
528,0.00039129,0.00038522,0.00037914,0.000367,0.0003427,0.00029411,0.00035584,0.00035012,0.0003479,0.00033976,0.00032716,0.000291
530,0.00040315,0.00039619,0.00038923,0.0003753,0.00034746,0.00029177,0.0003665,0.00036048,0.00035744,0.00034746,0.00032992,0.00028614
532,0.00041045,0.00040283,0.00039522,0.00038,0.00034956,0.00028867,0.0003752,0.0003688,0.0003644,0.00035312,0.00033316,0.00028276
534,0.00041535,0.00040726,0.00039916,0.00038297,0.0003506,0.00028584,0.0003843,0.00037694,0.00037166,0.00035872,0.00033656,0.00028162
536,0.00042101,0.00041246,0.00040391,0.0003868,0.0003526,0.0002842,0.00039232,0.000384,0.0003785,0.00036432,0.00034002,0.00028086
538,0.0004273,0.00041839,0.00040948,0.00039167,0.00035604,0.00028479,0.00039988,0.00039122,0.00038536,0.0003701,0.00034338,0.00028038
540,0.00043455,0.00042525,0.00041595,0.00039735,0.00036015,0.00028574,0.00040866,0.00039958,0.00039316,0.00037692,0.00034852,0.00028068
542,0.00044219,0.00043242,0.00042266,0.00040313,0.00036407,0.00028596,0.00041914,0.00041002,0.00040272,0.0003854,0.00035406,0.00028274
544,0.00045208,0.00044182,0.00043155,0.00041103,0.00036998,0.00028789,0.00042826,0.00041908,0.00041042,0.0003924,0.00035904,0.00028394
546,0.00046048,0.00044966,0.00043885,0.00041723,0.00037399,0.0002875,0.00043788,0.00042776,0.00041892,0.00040018,0.0003645,0.00028562
548,0.00047277,0.00046131,0.00044985,0.00042694,0.00038111,0.00028944,0.00044746,0.0004378,0.00042804,0.00040864,0.00037086,0.00028814
550,0.00048655,0.00047443,0.00046231,0.00043808,0.00038961,0.00029267,0.00045704,0.00044708,0.00043692,0.00041598,0.00037676,0.00028996
552,0.00049655,0.00048379,0.00047102,0.00044549,0.00039443,0.00029232,0.0004699,0.00045888,0.00044796,0.0004257,0.00038382,0.00029388
554,0.0005075,0.00049423,0.00048096,0.00045442,0.00040134,0.00029517,0.00048292,0.00047074,0.00045978,0.0004372,0.000392,0.00029788
556,0.00052147,0.00050758,0.0004937,0.00046593,0.00041039,0.00029931,0.00049432,0.00048178,0.00047014,0.000446,0.00039894,0.00030082
558,0.00053462,0.0005201,0.00050558,0.00047653,0.00041845,0.00030227,0.00050756,0.00049416,0.00048284,0.00045746,0.00040798,0.00030476
