Wavelength [nm],Background nominal [28 yrs],Modulation nominal [x0.25 28 yrs],Modulation nominal [x0.50 28 yrs],Modulation nominal [x1.00 28 yrs],Modulation nominal [x2.00 28 yrs],Background validated [32 yrs],Modulation validated [x0.25 32 yrs],Modulation validated [x0.50 32 yrs],Modulation validated [x1.00 32 yrs],Modulation validated [x2.00 32 yrs]
704,0.00020413,0.00020509,0.00020605,0.00020798,0.00021182,0.00019833,0.00019575,0.00019184,0.00019604,0.00020203
706,0.00019843,0.00019939,0.00020036,0.00020229,0.00020615,0.00018963,0.0001871,0.00018239,0.00018606,0.00019204
708,0.00019299,0.00019393,0.00019488,0.00019677,0.00020056,0.00018139,0.00017914,0.00017368,0.00017745,0.00018307
710,0.00017966,0.00018051,0.00018136,0.00018306,0.00018646,0.00017064,0.0001691,0.00016301,0.00016672,0.00017302
712,0.0001709,0.00017169,0.00017248,0.00017407,0.00017724,0.0001577,0.0001566,0.00015147,0.0001562,0.00016236
714,0.00015439,0.00015511,0.00015582,0.00015725,0.00016011,0.00014451,0.00014281,0.00013956,0.00014207,0.00014851
716,0.00014682,0.00014753,0.00014825,0.00014968,0.00015255,0.00013221,0.00013039,0.00012603,0.00012931,0.00013454
718,0.00013135,0.00013203,0.00013271,0.00013407,0.00013679,0.00011405,0.00011601,0.00011161,0.00011614,0.0001196
720,0.00011655,0.0001172,0.00011786,0.00011916,0.00012177,0.00010068,0.00010222,9.7032e-05,0.00010152,0.00010567
722,0.00010341,0.00010403,0.00010464,0.00010587,0.00010833,9.0102e-05,9.4016e-05,8.83e-05,9.2658e-05,9.6558e-05
724,9.9056e-05,9.9668e-05,0.00010028,0.0001015,0.00010395,8.1492e-05,8.6244e-05,8.2782e-05,8.5246e-05,8.7666e-05
726,8.9167e-05,8.9677e-05,9.0187e-05,9.1208e-05,9.3248e-05,7.7602e-05,8.11e-05,7.9678e-05,7.9084e-05,8.2586e-05
728,8.3837e-05,8.4328e-05,8.4818e-05,8.5799e-05,8.7762e-05,7.3296e-05,8.0328e-05,7.5886e-05,7.758e-05,8.0828e-05
730,8.2501e-05,8.3008e-05,8.3516e-05,8.4531e-05,8.6561e-05,7.2044e-05,7.7276e-05,7.4888e-05,7.488e-05,8.0672e-05
732,8.0776e-05,8.1257e-05,8.1739e-05,8.2702e-05,8.4629e-05,7.3724e-05,7.8504e-05,7.4286e-05,7.4258e-05,7.8e-05
734,8.0926e-05,8.1426e-05,8.1925e-05,8.2923e-05,8.4919e-05,7.3704e-05,7.979e-05,7.4574e-05,7.3118e-05,8.0702e-05
736,7.1351e-05,7.1842e-05,7.2333e-05,7.3314e-05,7.5277e-05,6.7912e-05,7.5948e-05,7.4204e-05,7.4614e-05,7.728e-05
738,6.0516e-05,6.095e-05,6.1384e-05,6.2253e-05,6.3989e-05,6.7854e-05,7.293e-05,7.3822e-05,7.1962e-05,7.2924e-05
740,5.4394e-05,5.4785e-05,5.5176e-05,5.5957e-05,5.752e-05,6.53e-05,7.4418e-05,7.2056e-05,7.103e-05,7.1796e-05
742,5.5845e-05,5.6271e-05,5.6696e-05,5.7546e-05,5.9247e-05,6.6894e-05,7.3344e-05,7.142e-05,6.6932e-05,7.1408e-05
744,6.1069e-05,6.1568e-05,6.2067e-05,6.3066e-05,6.5064e-05,6.7002e-05,7.327e-05,7.257e-05,6.565e-05,7.3484e-05
746,5.0253e-05,5.0685e-05,5.1118e-05,5.1983e-05,5.3713e-05,6.6568e-05,7.2938e-05,6.9922e-05,6.8326e-05,6.9372e-05
748,5.0577e-05,5.0983e-05,5.139e-05,5.2202e-05,5.3826e-05,6.8256e-05,7.2018e-05,6.9224e-05,6.7618e-05,6.9012e-05
750,5.2154e-05,5.2529e-05,5.2905e-05,5.3656e-05,5.5159e-05,6.5788e-05,6.9212e-05,7.1288e-05,6.5332e-05,6.8298e-05
752,5.3542e-05,5.3975e-05,5.4408e-05,5.5275e-05,5.7008e-05,6.9912e-05,7.161e-05,7.1636e-05,6.984e-05,6.9276e-05
754,5.1155e-05,5.1504e-05,5.1853e-05,5.2551e-05,5.3948e-05,7.1956e-05,6.9298e-05,7.4576e-05,7.1498e-05,7.0978e-05
756,6.0708e-05,6.1132e-05,6.1555e-05,6.2403e-05,6.4097e-05,7.107e-05,6.9904e-05,7.5434e-05,7.0728e-05,7.117e-05
758,7.5156e-05,7.5652e-05,7.6149e-05,7.7142e-05,7.9128e-05,7.659e-05,7.0818e-05,7.916e-05,7.0336e-05,7.2084e-05
760,6.6901e-05,6.7288e-05,6.7676e-05,6.8451e-05,7.0001e-05,7.9296e-05,7.3742e-05,7.4854e-05,6.9908e-05,7.7202e-05
762,7.5395e-05,7.5896e-05,7.6396e-05,7.7396e-05,7.9397e-05,8.0194e-05,7.59e-05,7.8322e-05,7.7274e-05,7.7474e-05
764,8.0791e-05,8.1254e-05,8.1717e-05,8.2643e-05,8.4495e-05,8.5268e-05,8.213e-05,7.9514e-05,7.3286e-05,8.3294e-05
766,8.0258e-05,8.0665e-05,8.1072e-05,8.1886e-05,8.3515e-05,8.7358e-05,8.2342e-05,8.4148e-05,7.7336e-05,8.7662e-05
768,8.2493e-05,8.281e-05,8.3127e-05,8.3762e-05,8.5032e-05,9.3724e-05,8.1788e-05,8.229e-05,8.6054e-05,8.2428e-05
770,9.7057e-05,9.7407e-05,9.7757e-05,9.8456e-05,9.9855e-05,9.459e-05,8.4086e-05,9.0548e-05,8.626e-05,8.942e-05
772,9.4908e-05,9.5161e-05,9.5414e-05,9.5921e-05,9.6934e-05,9.453e-05,8.8546e-05,8.9384e-05,8.9412e-05,9.3636e-05
774,8.9025e-05,8.9345e-05,8.9666e-05,9.0307e-05,9.1589e-05,0.00010219,8.9426e-05,8.9008e-05,9.415e-05,9.687e-05
776,9.7212e-05,9.7665e-05,9.8119e-05,9.9026e-05,0.00010084,0.00010568,9.2546e-05,9.201e-05,9.3896e-05,9.914e-05
778,0.00010404,0.00010435,0.00010466,0.00010528,0.00010653,0.00011087,9.538e-05,9.2542e-05,9.3674e-05,0.00010145
780,0.00011245,0.00011278,0.00011311,0.00011377,0.00011509,0.00011486,0.00010404,9.8542e-05,0.00010171,0.00010577
