Wavelength [nm],Background nominal [28 yrs],Modulation nominal [400% 28 yrs],Background validated [32 yrs],Modulation validated [400% 32 yrs]
612,0.0005799,0.0090138,0.00052264,0.0084366
614,0.00063192,0.011552,0.00058888,0.010788
616,0.00073195,0.014336,0.00070978,0.01324
618,0.00088064,0.016918,0.0008746,0.015408
620,0.0010667,0.018981,0.0010795,0.017133
622,0.0013071,0.020299,0.0013309,0.018429
624,0.001602,0.020753,0.0016213,0.019252
626,0.0019736,0.020626,0.0019794,0.019633
628,0.0023744,0.020122,0.0023582,0.019519
630,0.0027843,0.019348,0.0027364,0.01903
632,0.0032051,0.018476,0.0031292,0.018276
634,0.0036174,0.017581,0.003526,0.017392
636,0.0040475,0.016535,0.0039486,0.016372
638,0.0044345,0.01564,0.0043302,0.015488
640,0.0047788,0.014888,0.0046782,0.014749
642,0.0050964,0.01418,0.0050086,0.014098
644,0.005398,0.013584,0.0053332,0.013549
646,0.0056957,0.012983,0.005665,0.013002
648,0.0058654,0.012399,0.0058702,0.012485
650,0.0058266,0.011609,0.005874,0.011761
652,0.0054935,0.010464,0.0055858,0.010673
654,0.0049239,0.0090478,0.0050434,0.0092764
656,0.0041656,0.0074208,0.0042828,0.007625
658,0.0034461,0.006024,0.0035622,0.0061992
660,0.002718,0.0046914,0.0028288,0.0048436
662,0.0020012,0.0034608,0.0020952,0.0035738
664,0.0012842,0.0022778,0.0013563,0.0023532
666,0.00071943,0.0013714,0.00074594,0.0013815
668,0.00042004,0.00089828,0.00040474,0.00084266
670,0.00028946,0.00068905,0.00024814,0.00059046
672,0.00024418,0.00061258,0.00019277,0.0004912
674,0.00023207,0.00056835,0.00017176,0.00044308
676,0.0002253,0.00055578,0.00015604,0.00041284
678,0.00022239,0.00053482,0.00015004,0.000391
680,0.00022705,0.00051964,0.00014804,0.00037146
682,0.00022532,0.0005108,0.00014715,0.00035372
684,0.00022392,0.00048859,0.00014556,0.00033436
686,0.00023442,0.00046932,0.00014235,0.00030808
688,0.00023399,0.00043901,0.00013965,0.00028244
690,0.00023623,0.00040119,0.00014269,0.00025534
692,0.00024382,0.00037083,0.00014452,0.00022758
694,0.00023982,0.00032726,0.00014389,0.00020374
696,0.00023628,0.00029665,0.0001455,0.00018209
698,0.0002411,0.00027734,0.0001486,0.00016561
700,0.00024636,0.00025329,0.00015476,0.00015004
702,0.00024478,0.00023832,0.0001563,0.00013862
704,0.00024552,0.00021966,0.00015856,0.00013106
706,0.00024202,0.00020617,0.00016319,0.00012193
708,0.00024895,0.00020202,0.00016676,0.00011609
710,0.00024947,0.00019213,0.00017176,0.00011058
712,0.00024689,0.00018901,0.00016884,0.00010561
714,0.00023876,0.00017689,0.00016452,9.81e-05
716,0.00021691,0.0001592,0.00015303,9.197e-05
718,0.00019745,0.00015015,0.00013765,8.502e-05
720,0.00017352,0.0001352,0.00011561,8.2572e-05
722,0.00015791,0.00013419,0.00010184,7.4062e-05
724,0.00013013,0.00012182,9.2132e-05,6.9154e-05
726,0.00011826,0.00012504,7.1068e-05,6.9026e-05
728,0.00010449,0.00013451,5.9478e-05,6.4446e-05
730,9.3282e-05,0.00013514,5.2944e-05,6.8232e-05
732,6.7143e-05,0.00011889,4.7232e-05,7.2112e-05
734,5.5546e-05,0.00012328,4.5068e-05,6.8696e-05
736,4.1553e-05,0.00011248,3.9658e-05,7.7736e-05
738,4.2991e-05,0.00013116,4.2188e-05,8.0316e-05
740,3.615e-05,0.00012522,3.5622e-05,8.036e-05
742,3.2171e-05,0.00010253,3.3773e-05,8.6334e-05
744,2.4288e-05,9.8017e-05,2.7505e-05,9.0366e-05
746,2.9655e-05,0.00010225,2.5857e-05,9.1176e-05
748,2.3341e-05,9.7032e-05,2.7123e-05,9.3678e-05
750,1.6733e-05,9.41e-05,2.4639e-05,9.2968e-05
752,2.5094e-05,7.8378e-05,2.6124e-05,9.8696e-05
754,1.8566e-05,7.1926e-05,2.0372e-05,0.00010707
756,2.044e-05,8.8185e-05,2.3137e-05,0.00011081
758,1.7904e-05,7.1891e-05,2.1468e-05,0.0001137
760,1.9793e-05,7.9131e-05,2.862e-05,0.00010819
762,2.5994e-05,0.00011499,3.1824e-05,0.00011618
764,3.9292e-05,0.00012399,3.0587e-05,0.00011888
766,3.1656e-05,0.00010245,3.155e-05,0.00012177
768,3.3021e-05,8.2945e-05,3.6814e-05,0.00011147
770,6.8765e-05,0.000118,3.5565e-05,0.00012065
772,6.8249e-05,8.9556e-05,4.966e-05,0.00011722
774,7.9362e-05,9.6663e-05,5.4444e-05,0.00010494
776,7.1142e-05,0.00012772,7.0343e-05,0.00010567
778,8.3783e-05,0.0001379,8.1471e-05,0.00010467
780,0.00010786,0.00015585,8.4503e-05,8.8308e-05
