2.6357e-05,2.3288e-05,2.6601e-05,2.0511e-05,2.6846e-05,2.0008e-05,2.7335e-05,1.9568e-05,2.8263e-05,2.3562e-05
1.8625e-05,2.25e-05,1.8821e-05,2.007e-05,1.9018e-05,1.9492e-05,1.941e-05,2.164e-05,2.0156e-05,2.0713e-05
2.6806e-05,2.1525e-05,2.705e-05,1.9317e-05,2.7294e-05,1.8119e-05,2.7783e-05,2.0039e-05,2.8711e-05,2.1615e-05
2.8489e-05,2.1144e-05,2.8735e-05,1.9206e-05,2.8982e-05,1.9404e-05,2.9476e-05,2.024e-05,3.0414e-05,2.182e-05
2.1009e-05,1.9924e-05,2.1184e-05,1.8139e-05,2.1359e-05,1.9711e-05,2.1709e-05,2.1019e-05,2.2375e-05,2.1933e-05
1.913e-05,2.0555e-05,1.9291e-05,1.8047e-05,1.9451e-05,1.9183e-05,1.9773e-05,2.0711e-05,2.0384e-05,2.2281e-05
1.8781e-05,1.9732e-05,1.8921e-05,1.785e-05,1.9061e-05,1.9529e-05,1.9341e-05,1.9444e-05,1.9873e-05,2.1447e-05
2.2659e-05,1.916e-05,2.2783e-05,1.885e-05,2.2907e-05,1.8428e-05,2.3154e-05,1.8382e-05,2.3625e-05,2.051e-05
2.655e-05,1.8043e-05,2.6764e-05,1.7332e-05,2.6977e-05,1.8114e-05,2.7404e-05,2.0295e-05,2.8216e-05,2.1016e-05
2.0404e-05,1.8757e-05,2.0499e-05,1.6477e-05,2.0593e-05,1.8658e-05,2.0782e-05,2.0229e-05,2.1142e-05,1.9952e-05
2.4054e-05,1.9681e-05,2.414e-05,1.8236e-05,2.4226e-05,1.9392e-05,2.4398e-05,1.9981e-05,2.4724e-05,2.133e-05
2.8682e-05,2.3088e-05,2.8664e-05,2.0886e-05,2.8645e-05,2.3826e-05,2.8609e-05,2.3389e-05,2.8541e-05,2.5592e-05
3.7862e-05,3.2428e-05,3.7597e-05,2.9784e-05,3.7332e-05,3.3104e-05,3.6802e-05,3.1072e-05,3.5796e-05,3.4084e-05
5.8078e-05,5.1076e-05,5.7422e-05,4.9178e-05,5.6765e-05,5.1256e-05,5.5452e-05,4.889e-05,5.2958e-05,5.022e-05
9.5153e-05,8.1104e-05,9.3855e-05,7.9112e-05,9.2556e-05,8.061e-05,8.9959e-05,7.7508e-05,8.5024e-05,7.6796e-05
