9.7673e-06,1.4205e-05,9.7551e-06,1.3404e-05,9.7429e-06,2.0254e-05,9.7186e-06,1.6868e-05,9.67e-06,1.8913e-05,9.5727e-06,2.129e-05
8.4009e-06,1.3509e-05,8.4795e-06,1.4158e-05,8.558e-06,1.8036e-05,8.7152e-06,1.7098e-05,9.0295e-06,1.776e-05,9.658e-06,2.2108e-05
9.1669e-06,1.1863e-05,9.4861e-06,1.4258e-05,9.8053e-06,1.5854e-05,1.0444e-05,1.5618e-05,1.1721e-05,1.7909e-05,1.4274e-05,2.1174e-05
1.0805e-05,1.256e-05,1.0993e-05,1.3733e-05,1.1182e-05,1.5923e-05,1.1558e-05,1.5549e-05,1.2312e-05,1.6934e-05,1.3819e-05,2.133e-05
1.3841e-05,1.2978e-05,1.3759e-05,1.296e-05,1.3677e-05,1.4552e-05,1.3512e-05,1.5351e-05,1.3182e-05,1.7188e-05,1.2523e-05,2.0492e-05
1.3039e-05,1.2869e-05,1.3005e-05,1.4102e-05,1.2972e-05,1.4055e-05,1.2904e-05,1.4353e-05,1.2769e-05,1.6926e-05,1.2498e-05,2.0226e-05
1.1949e-05,1.149e-05,1.2106e-05,1.3441e-05,1.2263e-05,1.3593e-05,1.2577e-05,1.3816e-05,1.3206e-05,1.8106e-05,1.4463e-05,2.1008e-05
1.2518e-05,1.0398e-05,1.2344e-05,1.39e-05,1.217e-05,1.2716e-05,1.1823e-05,1.4435e-05,1.1127e-05,1.7633e-05,9.7353e-06,1.9581e-05
8.1753e-06,9.6682e-06,8.3571e-06,1.442e-05,8.5389e-06,1.1934e-05,8.9025e-06,1.4748e-05,9.6297e-06,1.7017e-05,1.1084e-05,2.1503e-05
1.0484e-05,9.966e-06,1.0704e-05,1.3999e-05,1.0924e-05,1.3095e-05,1.1364e-05,1.2603e-05,1.2244e-05,1.7275e-05,1.4004e-05,2.0967e-05
1.059e-05,1.0362e-05,1.0819e-05,1.5623e-05,1.1048e-05,1.2186e-05,1.1506e-05,1.3723e-05,1.2422e-05,1.627e-05,1.4253e-05,2.0257e-05
